순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
64;9788996991342;미움받을 용기(교보문고 단독 스페셜 에디션)(리커버:K);기시미 이치로;인플루엔셜;20141117;인문;\14,900
65;9788950975913;굿 라이프(양장본 HardCover);최인철;21세기북스;20180620;자기계발;\17,000
66;9791162540169;유튜브의 신;대도서관;비즈니스북스;20180510;자기계발;\14,000
67;9788950973025;책을 지키려는 고양이(반양장);나쓰카와 소스케;아르테(arte);20180112;소설;\14,000
68;9788960516175;검사내전;김웅;부키;20180119;정치/사회;\15,000
69;9788959895526;트렌드 코리아 2019;김난도;미래의창;20181026;경제/경영;\17,000
70;9788934979289;유병재 농담집 블랙코미디;유병재;비채;20171030;시/에세이;\13,000
71;9791129429506;일취월장;고영성;로크미디어;20171207;경제/경영;\22,000
72;9788937461033;인간 실격(세계문학전집 103);다자이 오사무;민음사;20120410;소설;\8,000
73;9788959894819;트렌드 코리아 2018(10주년 특별판);김난도;미래의창;20171030;경제/경영;\18,000
74;9788936433598;채식주의자;한강;창비;20071030;소설;\12,000
75;9791162335123;추리 천재 엉덩이 탐정. 6: 수상한 탐정 사무소 사건(양장본 HardCover);트롤;아이세움;20180530;어린이(초등);\12,000
76;9788972758426;그대 눈동자에 건배(양장본 HardCover);히가시노 게이고;현대문학;20171127;소설;\14,000
77;9788965133520;유시민의 글쓰기 특강;유시민;생각의길;20150410;인문;\15,000
78;9788915102019;임신 출산 육아 대백과(2019~2020)(개정판);삼성출판사 편집부;삼성출판사;20190701;가정/육아;\18,500
79;9791162201510;김영철, 타일러의 진짜 미국식 영어(한 마디를 해도 통하는);김영철;위즈덤하우스;20171208;외국어;\14,800
80;9788965421689;해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판);David Cho;해커스어학연구소;20190116;외국어;\14,900
81;9788956604992;7년의 밤;정유정;은행나무;20160530;소설;\14,500
82;9788990982704;용의자 X의 헌신(양장본 HardCover);히가시노 게이고;재인;20170830;소설;\16,800
83;9791187444213;언스크립티드;엠제이 드마코;토트;20180117;경제/경영;\19,800
84;9788965705451;미중전쟁. 1: 풍계리 수소폭탄(양장본 HardCover);김진명;쌤앤파커스;20171212;소설;\13,800
85;9788994120997;지적 대화를 위한 넓고 얕은 지식: 현실너머 편;채사장;한빛비즈;20150204;인문;\16,000
86;9788940291801;착! 붙는 일본어 독학 첫걸음(CD1장포함);일본어 공부기술연구소;시사일본어사;20151015;외국어;\14,000
87;9788970656298;기획자의 습관;최장순;홍익출판사;20180508;자기계발;\14,800
88;9788936434120;소년이 온다;한강;창비;20140519;소설;\12,000
89;9788954641630;쇼코의 미소;최은영;문학동네;20190620;소설;\12,000
90;9788950972226;엄마의 자존감 공부;김미경;21세기북스;20171110;자기계발;\16,000
91;9791188248124;우리는 언젠가 만난다(1주년 한정 리커버 특별판);채사장;웨일북(whalebooks);20171224;인문;\14,000
92;9791186560617;불행 피하기 기술;롤프 도벨리;인플루엔셜;20180120;자기계발;\15,800
93;9791188380169;좀비고등학교 코믹스. 5;배아이;겜툰;20180215;어린이(초등);\9,800
94;9791130616636;나는 둔감하게 살기로 했다;와타나베 준이치;다산초당;20180410;인문;\14,000
95;9791157108718;너의 췌장을 먹고 싶어(노블판);스미노 요루;소미미디어;20170401;소설;\13,800
96;9791162201046;세상에서 가장 짧은 세계사;존 허스트;위즈덤하우스;20171107;역사/문화;\16,000
97;9788950974329;Go Go 카카오프렌즈. 2: 영국;김미영;아울북;20180425;어린이(초등);\12,000
98;9788925559650;참 소중한 너라서(있는 그대로);김지훈;알에이치코리아;20160707;시/에세이;\14,800
99;9788971996096;나의 한국현대사;유시민;돌베개;20140710;역사/문화;\18,000
100;9788965746614;해리. 1;공지영;해냄출판사;20180730;소설;\14,500
101;9788959136896;스물아홉 생일 1년 후 죽기로 결심했다;하야마 아마리;예담;20120720;시/에세이;\12,800
102;9788954650694;제9회 젊은작가상 수상작품집(2018);박민정;문학동네;20180404;소설;\12,000
103;9788970127248;총 균 쇠;재레드 다이아몬드;문학사상;20051219;역사/문화;\28,000
104;9788954624534;반딧불이(양장본 HardCover);무라카미 하루키;문학동네;20140828;소설;\12,000
105;9791157842636;원칙(양장본 HardCover);레이 달리오;한빛비즈;20180618;경제/경영;\35,000
106;9791196376406;한 권으로 정리하는 4차 산업혁명;최진기;이지퍼블리싱;20180511;경제/경영;\16,800
107;9791160486735;완벽한 공부법;고영성;로크미디어;20170106;자기계발;\19,800
108;9788971998014;국가란 무엇인가(개정신판);유시민;돌베개;20170123;인문;\15,000
109;9791196273149;혼자 있고 싶은데 외로운 건 싫어;피터 홀린스;포레스트북스;20180314;인문;\13,000
110;9788954651820;내게 무해한 사람;최은영;문학동네;20190620;소설;\13,500
111;9791133468430;너라는 계절(감성 일러스트 에디션);김지훈;니들북;20171123;시/에세이;\14,800
112;9791129489159;뼈 있는 아무 말 대잔치;신영준;로크미디어;20180913;시/에세이;\15,800
113;9788950976514;오늘처럼 내가 싫었던 날은 없다;글배우;21세기북스;20180907;인문;\16,000
114;9791196067694;12가지 인생의 법칙;조던 B. 피터슨;메이븐;20181030;인문;\16,800
115;9788925564210;앨리스, 너만의 길을 그려봐;이상한 나라의 앨리스 (원작);알에이치코리아;20180720;시/에세이;\13,800
116;9791188007134;엄마의 말하기 연습;박재연;한빛라이프;20180226;가정/육아;\14,800
117;9791188874088;설민석의 한국사 대모험. 6;설민석;아이휴먼;20180420;어린이(초등);\10,500
118;9791130617060;머니(Money)(교보문고 단독 리커버);롭 무어;다산북스;20180524;경제/경영;\17,000
119;9788925564289;나는 오늘도 경제적 자유를 꿈꾼다;청울림(유대열);알에이치코리아;20180719;경제/경영;\16,800
120;9788972773207;하버드 첫 강의 시간관리 수업;쉬셴장;리드리드출판;20180403;자기계발;\14,800
121;9788901093154;넛지 : 똑똑한 선택을 이끄는 힘(양장본 HardCover);리처드 탈러;리더스북;20090422;경제/경영;\15,500
122;9788954651134;흰(2판)(양장본 HardCover);한강;문학동네;20180425;소설;\12,500
123;9791156397267;Who? Special 손흥민(아시안 게임 금메달 기념 한정판)(양장본 HardCover);강진희;다산어린이;20181015;어린이(초등);\12,800
124;9791186274156;약간의 거리를 둔다;소노 아야코;책읽는고양이;20161020;시/에세이;\9,900
125;9791130616650;베어타운(리커버 한정판)(리커버:K);프레드릭 배크만;다산책방;20180416;소설;\15,800
126;9788950965693;빨강머리 앤이 하는 말;백영옥;아르테(arte);20160715;시/에세이;\16,000
127;9791156757344;우울할 땐 뇌과학;앨릭스 코브;심심;20180312;인문;\17,000
128;9788965422006;해커스 토익 700+ LC+RC(한 권으로 끝내는);해커스 어학연구소;해커스어학연구소;20161010;외국어;\19,500
129;9791195322183;완벽하지 않은 것들에 대한 사랑;혜민;수오서재;20160203;시/에세이;\14,800
130;9791133473540;원피스. 88: 사자;오다 에이치로;대원씨아이;20180326;만화;\5,000
131;9791130616261;보노보노의 인생상담;이가라시 미키오;놀;20180320;시/에세이;\16,000
132;9791187498186;인생에서 너무 늦은 때란 없습니다;애나 메리 로버트슨 모지스;수오서재;20171216;시/에세이;\13,800
133;9788950973223;마법천자문. 41: 내가 나아갈 길! 길 도;올댓스토리;아울북;20180125;어린이(초등);\9,800
134;9788901218151;청춘의 독서;유시민;웅진지식하우스;20170707;인문;\14,800
135;9791159039690;어린왕자(초판본)(양장본 HardCover);생텍쥐페리;더스토리;20180910;소설;\9,800
136;9788937460449;데미안(세계문학전집 44);헤르만 헤세;민음사;20090120;소설;\8,000
137;9788965421696;해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition);David Cho;해커스어학연구소;20190130;외국어;\14,900
138;9788954645614;오직 두 사람;김영하;문학동네;20170525;소설;\13,000
139;9788993635850;횡설수설하지 않고 정확하게 설명하는 법;고구레 다이치;갈매나무;20170828;자기계발;\13,000
140;9788966350759;하늘 100층짜리 집(양장본 HardCover);이와이 도시오;북뱅크;20171225;유아(0~7세);\12,000
141;9788990982728;살인의 문. 1(양장본 HardCover);히가시노 게이고;재인;20180831;소설;\14,800
142;9791158883591;부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판);로버트 기요사키;민음인;20180222;경제/경영;\15,800
143;9788965704959;아무것도 아닌 지금은 없다;글배우;쌤앤파커스;20170801;시/에세이;\13,000
