순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9,78897E+12;아홉살 인생(양장본 HardCover);위기철;청년사;20010126;소설;\8,000
2;9,78897E+12;봉순이 언니;공지영;푸른숲;19981130;소설;\6,000
3;9,7889E+12;그 많던 싱아는 누가 다 먹었을까;박완서;웅진닷컴;19921001;소설;\7,000
4;9,78897E+12;오페라의 유령;가스통 르루;문학세계사;20031105;소설;\9,200
5;9,78894E+12;괭이부리말 아이들(양장본 HardCover);김중미;창작과비평사;20070820;소설;\13,800
6;9,78897E+12;연탄길 1;이철환;삼진기획;20000801;소설;\7,500
7;9,78893E+12;뇌(상);베르나르 베르베르;열린책들;20020715;소설;\8,500
8;9,78898E+12;그러나 나는 살아가리라;유용주;솔;20020907;시/에세이;\6,500
9;9,78898E+12;화;틱낫한;명진출판사;20110923;시/에세이;\8,900
10;9,78898E+12;모랫말 아이들(어른을 위한 동화);황석영;문학동네;20010120;소설;\8,000
11;9,78899E+12;화성에서 온 남자 금성에서 온 여자;존 그레이;친구;19931201;자기계발;\9,000
12;9,78895E+12;TV동화 행복한 세상;박인식;샘터(샘터사);20020305;시/에세이;\9,000
13;9,78898E+12;누가 내 치즈를 옮겼을까;스펜서 존슨;진명출판사;20000315;자기계발;\7,000
14;9,789E+12;창가의 토토;구로야나기 테츠코;프로메테우스출판사;20000601;소설;\7,500
15;9,78897E+12;백범일지(보급판 2판);김구;돌베개;20020801;정치/사회;\9,500
16;9,78898E+12;모리와 함께한 화요일(양장본 HardCover);미치 앨봄;세종서적;20020320;시/에세이;\8,500
17;9,78893E+12;혼자만 잘 살믄 무슨 재민겨(개정증보판)(고집쟁이 농사꾼의 세상사는 이야기 1);전우익;현암사;20111110;시/에세이;\8,500
18;9,78898E+12;신경림의 시인을 찾아서;신경림;우리교육;19981020;인문;\8,000
19;9,78898E+12;이보영의 120분 영문법(TAPE3개포함);이보영;넥서스;20020325;외국어;\15,000
20;9,78893E+12;달라이 라마의 행복론;달라이 라마;김영사;20011110;시/에세이;\12,800
21;9,78898E+12;위대한 개츠비;F.스콧 피츠제럴드;책만드는집;20010827;소설;\8,000
22;9,78899E+12;무량수전 배흘림기둥에 기대서서(보급판);최순우;학고재;20020305;역사/문화;\9,500
23;9,78897E+12;50 ENGLISH(TAPE2개포함);샘박;디자인하우스;20011115;외국어;\11,000
24;9,78895E+12;NEXT SOCIETY;피터 드러커;한국경제신문사;20020710;경제/경영;\13,000
25;9,78898E+12;이익훈 EYE OF THE TOEIC;이익훈;넥서스;20011105;외국어;\18,500
26;9,78891E+12;무소유(2판)(양장본 HardCover);법정;범우사;19990805;시/에세이;\8,000
27;9,78899E+12;협상의 법칙;허브 코헨;청년정신;20010910;자기계발;\12,000
28;9,78899E+12;내 영혼이 따뜻했던 날들(2판);포리스터 카터;아름드리;19980815;소설;\6,500
29;9,78893E+12;호밀밭의 파수꾼(문예세계문학선 3);J. D. 샐린저;문예출판사;19980810;소설;\8,000
30;9,78899E+12;블루데이북(The Blue Day Book Series 1);브래들리 트레버 그리브;바다출판사;20020504;시/에세이;\6,800
31;9,78897E+12;괴물 1;이외수;해냄출판사;20020810;소설;\8,500
32;9,78893E+12;단순하게 살아라;베르너 티키 퀴스텐마허;김영사;20020917;자기계발;\12,800
33;9,78899E+12;그리스 로마 신화 10(트로이 트로이)(만화로 보는);토머스 볼핀치;가나출판사;20020425;어린이(초등);\8,500
34;9,7889E+12;이윤기의 그리스 로마 신화. 1;이윤기;웅진닷컴;20000626;역사/문화;\12,000
35;9,78897E+12;한비야의 중국견문록;한비야;푸른숲;20010824;여행;\8,800
36;9,78898E+12;등대지기;조창인;밝은세상;20010905;소설;\9,500
37;9,78899E+12;영원한 리베로;홍명보;은행나무;20020525;시/에세이;\8,900
38;2,00889E+12;반지의 제왕(전6권);J.R.R.톨킨;황금가지;20011201;소설;\45,000
39;9,78897E+12;세계가 만일 100명의 마을이라면;이케다 가요코;국일출판사;20020310;시/에세이;\6,800
40;9,78898E+12;부자 아빠 가난한 아빠. 1;로버트 기요사키;황금가지;20090302;경제/경영;\12,000
41;9,78897E+12;우동 한그릇;구리 료헤이;청조사;19890701;소설;\7,500
42;9,78898E+12;가시고기;조창인;밝은세상;20000110;소설;\7,500
43;9,78898E+12;이익훈 EAR OF THE TOEIC;이익훈;넥서스;20010707;외국어;\21,500
44;9,78897E+12;지금 알고 있는 걸 그때도 알았더라면(잠언시집);류시화;열림원;19980410;시/에세이;\7,500
45;9,78897E+12;상실의 시대(원제: 노르웨이의 숲)(3판);무라카미 하루키;문학사상사;20100720;소설;\15,000
46;9,78898E+12;셜록 홈즈 전집 1(주홍색 연구)(양장본 HardCover);아서 코난 도일;황금가지;20020205;소설;\8,000
47;9,78897E+12;토마토:토익점수마구올려주는토익(READING);오혜정;능률교육;20020107;외국어;\17,000
48;9,78894E+12;환상동화집(양장본 HardCover);헤르만 헤세;민음사;20141021;소설;\15,000
49;9,78895E+12;열두살에 부자가 된 키라;보도 섀퍼;을파소;20010810;어린이(초등);\12,000
50;9,78893E+12;TOEIC 답이 보인다(4판)(CASSETTE TAPE 3개 포함)(4판);김대균;김영사;20020125;외국어;\15,900
