순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9,78899E+12;살아 있는 동안 꼭 해야 할 49가지;탄줘잉;위즈덤하우스;20041220;자기계발;\8,800
2;9,78896E+12;다 빈치 코드 1;댄 브라운;북스캔;20070611;소설;\7,800
3;9,78895E+12;모모(비룡소 걸작선 13);미하엘 엔데;비룡소;20091020;소설;\12,000
4;9,78898E+12;연금술사;파울로 코엘료;문학동네;20181205;소설;\9,500
5;9,78897E+12;블루오션전략(양장본 HardCover);김위찬;교보문고;20050407;경제/경영;\17,000
6;9,789E+12;사랑하라 한번도 상처받지 않은 것처럼;류시화;오래된미래;20081024;시/에세이;\9,500
7;9,78899E+12;해커스 토익 READING;David Cho;해커스어학연구소;20050102;외국어;\18,800
8;9,78895E+12;2010 대한민국 트렌드;LG경제연구원;한국경제신문사;20050115;경제/경영;\12,000
9;9,78898E+12;해리포터와 혼혈왕자 제6권 1;조앤 K. 롤링;문학수첩;20051101;소설;\8,500
10;9,78895E+12;설득의 심리학. 1;로버트 치알디니;21세기북스;20020930;자기계발;\12,000
11;9,78895E+12;긍정의 힘;조엘 오스틴;두란노;20050511;종교;\12,000
12;9,78896E+12;여자의 모든 인생은 20대에 결정된다;남인숙;랜덤하우스코리아;20040710;자기계발;\8,500
13;9,78897E+12;지도 밖으로 행군하라;한비야;푸른숲;20050908;여행;\12,000
14;9,78898E+12;베로니카 죽기로 결심하다(양장본 HardCover);파울로 코엘료;문학동네;20140410;소설;\11,500
15;9,78896E+12;공중그네;오쿠다 히데오;은행나무;20150615;소설;\12,000
16;9,78899E+12;해커스 토익(CD1장포함);David Cho;해커스어학연구소;20041202;외국어;\18,900
17;9,78897E+12;어둠의 저편;무라카미 하루키;문학사상;20050526;소설;\13,800
18;9,78896E+12;선물;스펜서 존슨;랜덤하우스코리아;20031215;자기계발;\8,500
19;9,78897E+12;미실(제1회 세계문학상 당선작);김별아;문이당;20050305;소설;\9,500
20;9,78894E+12;목적이 이끄는 삶;릭 워렌;디모데;20030125;종교;\12,000
21;9,78898E+12;천국에서 만난 다섯사람;미치 앨봄;세종서적;20050320;소설;\9,000
22;9,78898E+12;오 자히르(양장본 HardCover);파울로 코엘료;문학동네;20131224;소설;\13,800
23;9,78899E+12;세상의 중심에서 사랑을 외치다;카타야마 쿄이치;지식여행;20051010;소설;\5,900
24;9,78897E+12;그 남자네 집;박완서;현대문학;20041023;소설;\9,000
25;9,78896E+12;아이 안에 숨어 있는 두뇌의 힘을 키워라;이승헌;한문화;20050221;가정/육아;\9,800
26;9,78893E+12;21세기 먼나라 이웃나라 12 (미국 3:대통령 편) (올컬러판);이원복;김영사;20050120;어린이(초등);\11,900
27;9,78897E+12;사소한 것에 목숨 걸지 마라(습관 바꾸기 편);리처드 칼슨;도솔;20040802;자기계발;\7,800
28;9,78897E+12;우리들의 행복한 시간;공지영;푸른숲;20050417;소설;\9,500
29;9,78898E+12;진주 귀고리 소녀;트레이시 슈발리에;강;20030825;소설;\9,500
30;9,78898E+12;미운오리새끼의 출근;메트 노가드;생각의나무;20050402;자기계발;\10,000
31;9,78897E+12;토마토:토익점수마구올려주는토익(READING) (2/E);오혜정;능률교육;20041006;외국어;\20,000
32;9,78896E+12;천사와 악마 1;댄 브라운;북스캔;20040930;소설;\8,800
33;9,78896E+12;그 남자 그 여자 2;이미나;랜덤하우스코리아;20041211;시/에세이;\9,500
34;9,78898E+12;칼의 노래 1(개정판);김훈;생각의나무;20031208;소설;\7,500
35;9,78899E+12;Hackers TOEFL Vocabulary (2005)(CBT/PBT)(4판);David Cho;해커스어학연구소;20050314;외국어;\15,900
36;9,78895E+12;마법천자문. 7;스튜디오 시리얼;북이십일 아울북;20041223;어린이(초등);\8,800
37;9,78898E+12;이익훈 EYE OF THE TOEIC (R/C) (개정판) (특별부록 CD 포함);이익훈;넥서스;20050218;외국어;\18,500
38;9,78897E+12;유림. 1;최인호;열림원;20050630;소설;\9,500
39;9,7889E+12;괴짜 경제학;스티븐 레빗;웅진지식하우스;20050627;경제/경영;\12,000
40;9,78897E+12;파이 이야기;얀 마텔;작가정신;20131113;소설;\14,000
41;9,78895E+12;찰리와 초콜릿 공장(양장본 HardCover);로알드 달;시공주니어;20040220;어린이(초등);\9,000
42;9,78896E+12;웃지마 나 영어책이야;문덕;랜덤하우스코리아;20050725;외국어;\9,500
43;9,78899E+12;해커스 그래머 스타트(Hackers Grammar Start);David Cho;해커스어학연구소;20040107;외국어;\16,900
44;9,78893E+12;CEO 안철수, 지금 우리에게 필요한 것은;안철수;김영사;20041216;자기계발;\10,900
45;9,78893E+12;2000원으로 밥상차리기;김용환;영진닷컴;20031115;요리;\8,800
46;9,78898E+12;폰더씨의 위대한 하루;앤디 앤드루스;세종서적;20030725;시/에세이;\9,500
47;9,78897E+12;몽고반점 (제29회 이상문학상 수상작품집 2005년도);한강;문학사상사;20050125;소설;\11,000
48;9,78899E+12;위트 상식사전;롤프 브레드니히;보누스;20050901;시/에세이;\10,800
49;9,7889E+12;지문 사냥꾼;이적;웅진지식하우스;20050515;소설;\13,000
50;9,78898E+12;모리와 함께한 화요일(양장본 HardCover);미치 앨봄;세종서적;20020320;시/에세이;\8,500
51;9,78897E+12;도쿄 타워;에쿠니 가오리;소담출판사;20051020;소설;\9,000
52;9,789E+12;해커스 리딩(Hackers Reading);David Cho;해커스어학연구소;20020426;외국어;\16,900
53;9,78898E+12;이익훈 EYE OF THE TOEIC BASIC(TOEIC R/C 실전모의고사,VOCABULARY포함);이익훈;넥서스;20040320;외국어;\16,500
54;9,78899E+12;생로병사의 비밀. 1;KBS 제작팀;가치창조;20041205;건강;\12,000
55;9,789E+12;해커스 그래머(Hackers Grammar);David Cho;해커스어학연구소;20020226;외국어;\16,900
56;9,78899E+12;쏘주 한 잔 합시다;유용주;큰나;20051015;시/에세이;\5,000
57;9,78897E+12;스펀지;KBS 스펀지 제작팀;동아일보사;20050222;시/에세이;\8,500
58;9,78897E+12;장외인간 1;이외수;해냄출판사;20050822;소설;\8,500
59;9,78897E+12;10년 후 세계(공병호의);공병호;해냄출판사;20050120;경제/경영;\12,800
60;9,78895E+12;마시멜로 이야기;호아킴 데 포사다;한국경제신문사;20090120;자기계발;\10,000
61;9,78052E+12;Basic Grammar in Use : With Answers (2/e(한국어판);RAYMOND MURPHY;케임브리지;20041208;외국어;\17,000
62;9,78897E+12;상실의 시대(원제: 노르웨이의 숲)(3판);무라카미 하루키;문학사상사;20100720;소설;\15,000
63;9,78899E+12;HACKERS WRITING START(해커스 라이팅 스타트);David Cho;해커스어학연구소;20030624;외국어;\16,900
64;9,78896E+12;민들레영토 희망 스토리;김영한 외;랜덤하우스코리아;20050127;경제/경영;\9,500
65;9,78899E+12;조선 왕 독살사건;이덕일;다산초당;20050715;역사/문화;\13,000
66;9,78897E+12;천년의 그림여행;스테파노 추피;예경;20050105;예술/대중문화;\19,800
67;9,78899E+12;TRY AGAIN(TAPE4개포함);이근철;길벗이지톡;20040530;외국어;\19,800
68;9,78896E+12;살수 1(다가오는 전쟁);김진명;랜덤하우스코리아;20050725;소설;\8,500
69;9,78893E+12;TOEIC PART 5.6 답이 보이는 실전연습;김대균;김영사;20040511;외국어;\17,900
70;9,78896E+12;카네기 인간관계론;데일 카네기;씨앗을뿌리는사람;20041125;자기계발;\12,000
71;9,78897E+12;10년후 한국;공병호;해냄출판사;20040607;경제/경영;\10,000
72;9,78899E+12;친구야 공부 왜 하니;곽기우;큰나;20050228;어린이(초등);\8,500
73;9,78894E+12;곤충세계에서 살아남기. 1(서바이벌 만화 과학상식 13);코믹컴;아이세움;20050728;어린이(초등);\9,000
74;9,78897E+12;강의;신영복;돌베개;20041211;인문;\18,000
75;9,789E+12;기적은 당신 안에 있습니다;이승복;황금나침반;20090324;시/에세이;\13,000
76;9,78894E+12;체 게바라 평전(역사인물찾기 10);장 코르미에;실천문학사;20000305;정치/사회;\12,000
77;9,78898E+12;11분(양장본 HardCover);파울로 코엘료;문학동네;20140127;소설;\12,000
78;9,78899E+12;나를 변화시키는 좋은 습관;한창욱;새론북스;20040110;자기계발;\8,500
79;9,78896E+12;황진이. 1;전경린;이룸;20040805;소설;\9,000
80;9,78895E+12;문학의 숲을 거닐다;장영희;샘터(샘터사);20050315;시/에세이;\12,000
81;9,78893E+12;나무;베르나르 베르베르;열린책들;20030630;소설;\8,800
