순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9788932916194;창문 넘어 도망친 100세 노인;요나스 요나손;열린책들;20130725;소설;\13,800
2;9788952227829;미 비포 유(Me Before You);조조 모예스;살림;20140101;소설;\15,000
3;9788993734348;어떤 하루;신준모;프롬북스;20140310;시/에세이;\13,800
4;9788970653976;내가 사랑한 유럽 TOP10;정여울;홍익출판사;20140115;여행;\15,800
5;9788937488351;감정수업(강신주의);강신주;민음사;20131120;인문;\19,500
6;9788949171197;에드워드 툴레인의 신기한 여행(하트우드 1)(양장본 HardCover);케이트 디카밀로;비룡소;20131227;소설;\15,000
7;9788954625586;여자 없는 남자들(양장본 HardCover);무라카미 하루키;문학동네;20140828;소설;\13,800
8;9788972756194;나미야 잡화점의 기적(양장본 HardCover);히가시노 게이고;현대문학;20121219;소설;\14,800
9;9788968330124;1cm+(일 센티 플러스);김은주;허밍버드;20130718;시/에세이;\13,800
10;9788965744023;정글만리. 1(양장본 HardCover);조정래;해냄출판사;20130701;소설;\13,500
11;9788965700609;멈추면 비로소 보이는 것들;혜민 스님;쌤앤파커스;20120127;시/에세이;\14,000
12;9788960514065;장하준의 경제학 강의;장하준;부키;20140725;경제/경영;\16,800
13;9788965673675;겨울 왕국 무비 스토리북(Disney)(디즈니 무비스토리북)(양장본 HardCover);예림아이 편집부;예림아이;20131210;유아(0~7세);\10,000
14;9788995501443;꾸뻬씨의 행복여행;프랑수아 를로르;오래된미래;20040728;소설;\13,500
15;9791185502076;비밀의 정원(출간 5주년 기념 특별 리커버 에디션);조해너 배스포드;클;20140820;예술/대중문화;\12,000
16;9788984317413;인생수업;법륜;휴;20131009;종교;\13,000
17;9788901161198;너는 나에게 상처를 줄 수 없다;배르벨 바르데츠키;걷는나무;20131120;인문;\14,000
18;9788965420170;해커스 토익 Reading(전면개정판)(단어암기장, 실전모의고사 포함);David Cho;해커스어학연구소;20130617;외국어;\18,800
19;9788927804789;그래도 사랑;정현주;중앙북스;20130923;시/에세이;\13,800
20;9788998886608;유엔미래보고서 2040;박영숙;교보문고;20131220;경제/경영;\15,000
21;9788968330216;1cm(일 센티) 첫 번째 이야기;김은주;허밍버드;20140201;시/에세이;\13,800
22;9788960865563;미생: 아직 살아 있지 못한 자. 1: 착수;윤태호;위즈덤하우스;20120915;만화;\11,000
23;9788984371286;내일;기욤 뮈소;밝은세상;20131210;소설;\13,800
24;9788956056531;여덟 단어;박웅현;북하우스;20130520;인문;\15,000
25;9788970127248;총 균 쇠;재레드 다이아몬드;문학사상;20051219;역사/문화;\28,000
26;9788965420705;해커스 토익 보카(구토익)(전면개정판);David Cho;해커스어학연구소;20140512;외국어;\12,900
27;9788915048249;임신 출산 육아 대백과(개정판);삼성출판사 편집부;삼성출판사;20150725;가정/육아;\18,500
28;9788971996096;나의 한국현대사;유시민;돌베개;20140710;역사/문화;\18,000
29;9788965420354;해커스 토익 스타트 리딩(구토익)(개정판);David Cho;해커스어학연구소;20130722;외국어;\14,900
30;9788950952891;다윗과 골리앗;말콤 글래드웰;21세기북스;20140127;자기계발;\17,000
31;9788960866454;잡담이 능력이다(리커버)(30초 만에 어색함이 사라지는);사이토 다카시;위즈덤하우스;20140116;자기계발;\13,000
32;9788965420194;해커스 토익 Listening(전면개정판)(단어암기장, CD1장포함);David Cho;해커스어학연구소;20130617;외국어;\18,800
33;9788996746416;나는 까칠하게 살기로 했다;양창순;센추리원;20120215;자기계발;\15,000
34;9788997575213;세계 최고의 인재들은 왜 기본에 집중할까;도쓰카 다카마사;비즈니스북스;20140214;자기계발;\13,000
35;9788932916378;제3인류. 1(양장본 HardCover);베르나르 베르베르;열린책들;20131023;소설;\13,800
36;9788993964844;싸드(THAAD);김진명;새움;20140815;소설;\14,200
37;9788901154091;나는 죽을 때까지 재미있게 살고싶다;이근후;갤리온;20130201;시/에세이;\14,000
38;9788939536746;겨울 왕국(Disney)(디즈니 무비 클로즈업 4);디즈니;꿈꾸는달팽이;20140115;어린이(초등);\9,500
39;9788964655825;하버드의 생각수업;후쿠하라 마사히로;엔트리;20140310;자기계발;\14,000
40;9788937833762;잘못은 우리 별에 있어;존 그린;북폴리오;20140522;소설;\12,000
41;9788967351274;21세기 자본(양장본 HardCover);토마 피케티;글항아리;20140912;정치/사회;\33,000
42;9788936433871;두근 두근 내 인생;김애란;창비;20110620;소설;\12,000
43;9788901165196;내가 공부하는 이유;사이토 다카시;걷는나무;20140616;인문;\13,000
44;9788965420217;해커스 토익 보카(인덱스포함)(증보판);David Cho;해커스어학연구소;20110520;외국어;\12,900
45;9788997575169;원씽(The One Thing)(리커버 특별판);게리 켈러;비즈니스북스;20130830;자기계발;\14,000
46;9788994013824;어떤 사람이 최고의 자리에 오르는가;존 네핑저;토네이도;20140526;자기계발;\15,000
47;9791130603346;한 번은 독해져라;김진애;다산북스;20140707;자기계발;\15,000
48;9788954625173;불륜(양장본 HardCover);파울로 코엘료;문학동네;20140725;소설;\13,800
49;9788992441421;인생을 바르게 보는 법 놓아주는 법 내려놓는 법;쑤쑤;다연;20130910;시/에세이;\15,000
50;9788932916637;셈을 할 줄 아는 까막눈이 여자;요나스 요나손;열린책들;20140710;소설;\14,800
51;9788965420378;해커스 토익 스타트 리스닝(구토익)(개정판)(CD1장포함);David Cho;해커스어학연구소;20130722;외국어;\12,900
52;9788956056852;겨울왕국(Frozen)(CD1장포함)(영화로 읽는 영어원서 31);Sarah Nathan;롱테일북스;20150318;외국어;\13,500
53;9788991113756;이기는 대화(양장본 HardCover);이서정;머니플러스;20130718;자기계발;\13,000
54;9791185014517;몽환화(블랙 앤 화이트 54);히가시노 게이고;비채;20140520;소설;\13,800
55;9788976820532;삐뽀삐뽀 119소아과(개정판 11판)(삐뽀삐뽀 시리즈 1);하정훈;그린비;20140510;가정/육아;\29,800
56;9788994612959;대통령의 글쓰기;강원국;메디치미디어;20170525;인문;\16,000
57;9788997296422;김우중과의 대화;신장섭;북스코프;20140826;경제/경영;\16,000
58;9788937462344;참을 수 없는 존재의 가벼움(세계문학전집 234);밀란 쿤데라;민음사;20091224;소설;\11,000
59;9788959372850;참 좋은 당신을 만났습니다;송정림;나무생각;20130729;시/에세이;\13,800
60;9788947529525;난쟁이 피터;호아킴 데 포사다;마시멜로;20140301;시/에세이;\14,000
61;9788956055466;책은 도끼다;박웅현;북하우스;20111010;인문;\16,000
62;9788963708386;예감은 틀리지 않는다(양장본 HardCover);줄리언 반스;다산책방;20120326;소설;\12,800
63;9788959892525;트렌드 코리아 2014;김난도;미래의창;20131118;경제/경영;\16,000
64;9788956604992;7년의 밤;정유정;은행나무;20160530;소설;\14,500
65;9788960513914;나는 생각이 너무 많아;크리스텔 프티콜랭;부키;20140520;인문;\14,800
66;9788970654195;나만 알고싶은 유럽 TOP10;정여울;홍익출판사;20140618;여행;\15,800
67;9788947529457;이카루스 이야기;세스 고딘;한국경제신문사;20140101;자기계발;\14,000
68;9788937489327;무의미의 축제;밀란 쿤데라;민음사;20140723;소설;\13,000
69;9788954625241;뉴스의 시대;알랭 드 보통;문학동네;20140730;인문;\15,000
70;9788927804093;서울 시(양장본 HardCover);하상욱;중앙북스;20130210;시/에세이;\9,800
