순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9791195522125;언어의 온도(3주년 150만부 기념 에디션);이기주;말글터;20160819;시/에세이;\13,800
2;9788937473135;82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover);조남주;민음사;20161014;소설;\13,000
3;9791186757093;자존감 수업;윤홍균;심플라이프;20160901;인문;\14,000
4;9788972756194;나미야 잡화점의 기적(양장본 HardCover);히가시노 게이고;현대문학;20121219;소설;\14,800
5;9791187119845;나는 나로 살기로 했다;김수현;마음의숲;20161128;시/에세이;\13,800
6;9788997092772;말의 품격;이기주;황소북스;20190318;인문;\14,500
7;9791130611853;보노보노처럼 살다니 다행이야(윈터 에디션);김신회;놀;20170406;시/에세이;\16,000
8;9788954646123;기사단장 죽이기. 1: 현현하는 이데아(양장본 HardCover);무라카미 하루키;문학동네;20170712;소설;\16,300
9;9788954622035;살인자의 기억법;김영하;문학동네;20130725;소설;\10,000
10;9788933870693;설민석의 조선왕조실록;설민석;세계사;20160720;역사/문화;\22,000
11;9788971998014;국가란 무엇인가(개정신판);유시민;돌베개;20170123;인문;\15,000
12;9788965132288;어떻게 살 것인가;유시민;생각의길;20130313;인문;\15,000
13;9788954645614;오직 두 사람;김영하;문학동네;20170525;소설;\13,000
14;9788959139309;어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북);김용택 (엮음);예담;20150604;시/에세이;\12,800
15;9788962805901;제4차 산업혁명(클라우스 슈밥의);클라우스 슈밥;새로운현재;20160420;경제/경영;\15,000
16;9788994120966;지적 대화를 위한 넓고 얕은 지식;채사장;한빛비즈;20170117;인문;\16,000
17;9788996991342;미움받을 용기(교보문고 단독 스페셜 에디션)(리커버:K);기시미 이치로;인플루엔셜;20141117;인문;\14,900
18;9788934977841;호모 데우스;유발 하라리;김영사;20170519;인문;\22,000
19;9788932918372;잠. 1(양장본 HardCover);베르나르 베르베르;열린책들;20170608;소설;\13,800
20;9788934972464;사피엔스;유발 하라리;김영사;20151124;인문;\22,000
21;9791160486735;완벽한 공부법;고영성;로크미디어;20170106;자기계발;\19,800
22;9791186805398;그릿(Grit);앤절라 더크워스;비즈니스북스;20161028;자기계발;\16,000
23;9788965421832;해커스 토익 기출 보카(TOEIC VOCA);David Cho;해커스어학연구소;20180810;외국어;\12,900
24;9791186274156;약간의 거리를 둔다;소노 아야코;책읽는고양이;20161020;시/에세이;\9,900
25;9791159030987;하늘과 바람과 별과 시(초판본);윤동주;더스토리;20160325;시/에세이;\7,700
26;9791133440054;너의 이름은.;신카이 마코토;대원씨아이;20170117;소설;\11,000
27;9788936433598;채식주의자;한강;창비;20071030;소설;\12,000
28;9788990982674;기린의 날개;히가시노 게이고;재인;20170206;소설;\16,800
29;9791186560433;명견만리: 정치, 생애, 직업, 탐구 편;KBS <명견만리> 제작팀;인플루엔셜;20170605;경제/경영;\15,800
30;9788960863132;영어책 한 권 외워봤니?;김민식;위즈덤하우스;20170111;자기계발;\14,000
31;9788990982575;가면산장 살인사건(양장본 HardCover);히가시노 게이고;재인;20140926;소설;\14,800
32;9788965962205;라틴어 수업(지적이고 아름다운 삶을 위한);한동일;흐름출판;20190429;인문;\15,000
33;9791161565873;문재인의 운명(특별판);문재인;북팔;20170509;정치/사회;\15,000
34;9788965745877;공터에서;김훈;해냄출판사;20170203;소설;\14,000
35;9788950965693;빨강머리 앤이 하는 말;백영옥;아르테(arte);20160715;시/에세이;\16,000
36;9788994120997;지적 대화를 위한 넓고 얕은 지식: 현실너머 편;채사장;한빛비즈;20150204;인문;\16,000
37;9788965961956;숨결이 바람 될 때(양장본 HardCover);폴 칼라니티;흐름출판;20160822;시/에세이;\14,000
38;9788965421719;해커스 신토익 리딩(Hackers TOEIC Reading);David Cho;해커스어학연구소;20160321;외국어;\18,800
39;9788965133520;유시민의 글쓰기 특강;유시민;생각의길;20150410;인문;\15,000
40;9791157523399;영어회화 100일의 기적;문성현;넥서스;20150525;외국어;\13,500
41;9791130612249;레버리지;롭 무어;다산북스;20170508;경제/경영;\15,000
42;9791195322183;완벽하지 않은 것들에 대한 사랑;혜민;수오서재;20160203;시/에세이;\14,800
43;9791186560204;명견만리: 윤리, 기술, 중국, 교육 편;KBS <명견만리> 제작팀;인플루엔셜;20160921;경제/경영;\15,800
44;9791187798026;너의 안부를 묻는 밤;지민석;시드앤피드;20170124;시/에세이;\13,000
45;9788901214801;어쩌면 내가 가장 듣고 싶었던 말;정희재;갤리온;20170203;시/에세이;\14,000
46;9788983711892;코스모스(보급판);칼 세이건;사이언스북스;20100120;과학;\18,500
47;9791195794799;설민석의 한국사 대모험. 1;설민석;아이휴먼;20170123;어린이(초등);\9,800
48;9788968330889;나에게 고맙다;전승환;허밍버드;20160701;시/에세이;\13,800
49;9788935211609;1시간에 1권 퀀텀 독서법;김병완;청림출판;20170331;자기계발;\15,000
50;9788901219080;9등급 꼴찌, 1년 만에 통역사 된 비법(특별증보판);장동완;리더스북;20171023;자기계발;\15,000
51;9788984373068;브루클린의 소녀;기욤 뮈소;밝은세상;20161206;소설;\14,500
52;9791186900222;새는 날아가면서 뒤돌아보지 않는다;류시화;더숲;20170225;시/에세이;\14,000
53;9791157108718;너의 췌장을 먹고 싶어(노블판);스미노 요루;소미미디어;20170401;소설;\13,800
54;9788937434488;노르웨이의 숲(양장본 HardCover);무라카미 하루키;민음사;20170807;소설;\15,000
55;9788950967291;혼자 잘해주고 상처받지 마라;유은정;21세기북스;20161027;자기계발;\15,000
56;9791157280292;꽃을 보듯 너를 본다(J. H Classic 2)(양장본 HardCover);나태주;지혜;20150620;시/에세이;\10,000
57;9788965421726;해커스 신토익 리스닝(Hackers TOEIC Listening);David Cho;해커스어학연구소;20160321;외국어;\18,800
58;9791186560167;명견만리: 인구, 경제, 북한, 의료 편;KBS <명견만리> 제작팀;인플루엔셜;20160607;경제/경영;\15,800
59;9791158510619;타이탄의 도구들;팀 페리스;토네이도;20170403;자기계발;\15,000
60;9788954646079;바깥은 여름;김애란;문학동네;20170628;소설;\13,000
61;9788959136896;스물아홉 생일 1년 후 죽기로 결심했다;하야마 아마리;예담;20120720;시/에세이;\12,800
62;9788960863859;모든 관계는 말투에서 시작된다(10만 부 기념 스페셜 에디션);김범준;위즈덤하우스;20181101;자기계발;\12,800
63;9788965421689;해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판);David Cho;해커스어학연구소;20190116;외국어;\14,900
64;9791196025892;설민석의 무도 한국사 특강(개정판);설민석;휴먼큐브;20190129;역사/문화;\22,000
65;9788956608846;낭만적 연애와 그 후의 일상(양장본 HardCover);알랭 드 보통;은행나무;20160825;소설;\13,500
66;9791133437900;너의 이름은. Another Side: Earthbound(엔티노벨(NT Novel));신카이 마코토 (원작);대원씨아이;20170115;소설;\7,000
67;9788936474393;나의 문화유산답사기. 9: 서울편(1);유홍준;창비;20170821;역사/문화;\18,500
68;9788925559650;참 소중한 너라서(있는 그대로);김지훈;알에이치코리아;20160707;시/에세이;\14,800
69;9791130611099;센서티브(양장본 HardCover);일자 샌드;다산지식하우스;20170209;인문;\14,000
70;9791195906802;그럴 때 있으시죠?;김제동;나무의마음;20161025;시/에세이;\15,800
