순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
61;9,78893E+12;최인호의 인연;최인호;랜덤하우스코리아;20091230;시/에세이;\12,000
62;9,78893E+12;나는 아직 어른이 되려면 멀었다;강세형;김영사;20100715;시/에세이;\11,000
63;9,789E+12;잠자기 전 30분(내일이 바뀌는 새로운 습관);다카시마 데쓰지;티즈맵;20081129;자기계발;\9,500
64;9,7889E+12;서른살이 심리학에게 묻다;김혜남;갤리온;20080218;인문;\12,000
65;9,78896E+12;영어낭독훈련 실천 다이어리(3권합본)(하루20분)(CD1장포함)(전3권);박광희;사람in;20100525;외국어;\18,000
66;9,7889E+12;시원스쿨 기초영어법(CD1장포함);이시원;엘도라도;20090729;외국어;\13,000
67;9,78898E+12;스티브 잡스 이야기(청소년 롤모델 시리즈 5);짐 코리건;명진출판사;20091220;시/에세이;\6,500
68;9,78896E+12;공부하는 독종이 살아남는다;이시형;중앙북스;20090310;자기계발;\13,000
69;9,78896E+12;하나님의 대사;김하중;규장;20100125;종교;\12,000
70;9,78895E+12;홀로 사는 즐거움;법정;샘터(샘터사);20040501;시/에세이;\9,800
71;9,78893E+12;세로토닌하라(양장본 HardCover);이시형;중앙북스;20100715;자기계발;\14,000
72;9,7889E+12;ENGLISH RESTART BASIC;I. A. RICHARDS;뉴런;20080707;외국어;\9,000
73;9,78899E+12;그 청년 바보 의사;안수현;아름다운사람들;20090720;종교;\12,000
74;9,7889E+12;스위치;칩 히스;웅진지식하우스;20100409;자기계발;\15,000
75;9,78899E+12;왜 나는 너를 사랑하는가(개정판)(양장본 HardCover);알랭 드 보통;청미래;20130115;소설;\12,000
76;9,78897E+12;소설 무소유: 법정스님 이야기;정찬주;열림원;20100428;소설;\15,000
77;9,7889E+12;멈추지마 다시 꿈부터 써봐;김수영;웅진지식하우스;20110219;시/에세이;\12,000
78;9,78899E+12;부자들의 음모(부자아빠 기요사키가 말하는);로버트 기요사키;흐름출판;20100903;경제/경영;\16,000
79;9,78892E+12;임신 출산 육아 대백과(개정판);삼성출판사 편집부;삼성출판사;20150725;가정/육아;\18,500
80;9,78896E+12;여행의 기술;알랭 드 보통;이레;20040726;여행;\12,000
81;9,78899E+12;왜 세계의 절반은 굶주리는가;장 지글러;갈라파고스;20070312;정치/사회;\9,800
82;9,78896E+12;김대중 자서전 세트(양장본 HardCover)(전2권);김대중;삼인출판사;20100730;정치/사회;\55,000
83;9,78893E+12;화폐전쟁(양장본 HardCover);쑹훙빙;랜덤하우스코리아;20080728;경제/경영;\20,000
84;9,78898E+12;구해줘(2판);기욤 뮈소;밝은세상;20100913;소설;\11,000
85;9,78899E+12;오리진이 되라;강신장;쌤앤파커스;20100603;경제/경영;\14,000
86;9,78897E+12;상실의 시대(원제: 노르웨이의 숲)(3판);무라카미 하루키;문학사상사;20100720;소설;\15,000
