순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9,78898E+12;누가 내 치즈를 옮겼을까;스펜서 존슨;진명출판사;20000315;자기계발;\7,000
2;9,78899E+12;상도 1;최인호;여백;20070630;소설;\7,500
3;9,78899E+12;국화꽃 향기. 1;김하인;생각의나무;20090420;소설;\8,800
4;9,78898E+12;부자 아빠 가난한 아빠. 1;로버트 기요사키;황금가지;20090302;경제/경영;\12,000
5;9,78899E+12;블루데이북(The Blue Day Book Series 1);브래들리 트레버 그리브;바다출판사;20020504;시/에세이;\6,800
6;9,78898E+12;가시고기;조창인;밝은세상;20000110;소설;\7,500
7;9,7889E+12;이윤기의 그리스 로마 신화. 1;이윤기;웅진닷컴;20000626;역사/문화;\12,000
8;9,78898E+12;느리게 산다는 것의 의미;피에르 쌍소;동문선;20000620;시/에세이;\7,000
9;9,78898E+12;해리포터와 마법사의 돌 제1권 1;조앤 K. 롤링;문학수첩;20091005;소설;\8,000
10;9,78899E+12;힐링 소사이어티;이승헌;한문화;20010208;자기계발;\7,800
11;9,78899E+12;펄떡이는 물고기처럼;스티븐 C. 런딘;한언;20001106;자기계발;\8,900
12;9,78898E+12;ENGLISH EXPRESSION DICTIONARY;신재용;넥서스;20010228;외국어;\21,500
13;9,78898E+12;WORD SMART;애덤 로빈슨 외;넥서스;20010131;외국어;\29,500
14;9,78897E+12;상실의 시대(원제: 노르웨이의 숲)(3판);무라카미 하루키;문학사상사;20100720;소설;\15,000
15;9,78899E+12;영어공부 절대로 하지마라(일반용)(TAPE2개포함);정찬용;사회평론;19990719;외국어;\9,800
16;9,789E+12;창가의 토토;구로야나기 테츠코;프로메테우스출판사;20000601;소설;\7,500
17;9,78899E+12;거울;원성;이레;20010710;시/에세이;\9,000
18;9,78894E+12;아주 오래된 농담;박완서;실천문학사;20001026;소설;\8,000
19;9,78893E+12;호밀밭의 파수꾼(문예세계문학선 3);J. D. 샐린저;문예출판사;19980810;소설;\8,000
20;9,78895E+12;겅호;켄 블랜차드;21세기북스;20010228;자기계발;\8,500
21;9,78899E+12;아들아 머뭇거리기에는 인생이 너무 짧다;강헌구;한언;20001106;자기계발;\9,800
22;9,78899E+12;협상의 법칙;허브 코헨;청년정신;20010910;자기계발;\12,000
23;9,78893E+12;TOEIC 답이 보인다 21세기형(T:3포함)(개정판)(2판);김대균;김영사;20010810;외국어;\14,900
24;9,78894E+12;그리스 로마 신화 1(올림포스의 신들);토머스 볼핀치;가나출판사;20001101;어린이(초등);\8,500
25;9,78898E+12;일 잘하는 사람 일 못하는 사람;호리바 마사오;오늘의책;20010428;자기계발;\10,000
26;9,78897E+12;지금 알고 있는 걸 그때도 알았더라면(잠언시집);류시화;열림원;19980410;시/에세이;\7,500
27;9,78897E+12;부석사(제25회이상문학상수상작품집 2001년도);신경숙;문학사상사;20010205;소설;\12,000
28;9,78899E+12;화성에서 온 남자 금성에서 온 여자;존 그레이;친구;19931201;자기계발;\9,000
29;9,78897E+12;너 그거 아니 ?;디비딕 닷컴 네티즌;문학세계사;20010720;자기계발;\8,200
30;9,78897E+12;한비야의 중국견문록;한비야;푸른숲;20010824;여행;\8,800
31;9,78899E+12;사슴벌레여자;윤대녕;이룸;20010430;소설;\7,500
32;9,78894E+12;마이너 리그;은희경;창작과비평사;20010410;소설;\12,000
33;9,78895E+12;디지몬 캐릭터 대도감;대원씨아이 편집부;대원씨아이(사용안함);20001201;어린이(초등);\5,000
34;9,78894E+12;프로페셔널의 조건;피터 드러커;청림출판;20010130;자기계발;\12,000
35;9,78898E+12;바이올렛;신경숙;문학동네;20121116;소설;\12,000
36;9,789E+12;미국 영어발음 무작정 따라하기(T:2포함);릭킴 외;길벗;20000725;외국어;\12,000
37;9,78898E+12;사람은 무엇으로 사는가 1;톨스토이;책만드는집;20000810;소설;\6,500
38;9,78895E+12;디지몬 어드벤처를 찾아라 1;학산문화사 편집부;학산문화사;20010115;유아(0~7세);\8,000
39;9,78893E+12;향수(양장본 HardCover);파트리크 쥐스킨트;열린책들;20080520;소설;\12,800
40;9,78899E+12;꿈을 도둑맞은 사람들에게;잭 캔필드;현재;20001001;자기계발;\8,000
41;9,78894E+12;야베스의 기도;브루스 윌킨슨;디모데;20010225;종교;\6,500
42;9,78893E+12;원칙중심의 리더십;스티븐 코비;김영사;20010115;자기계발;\12,900
43;9,78898E+12;등대지기;조창인;밝은세상;20010905;소설;\9,500
44;9,78895E+12;경제기사는 돈이다(2001)(개정판);송양민;21세기북스;20010215;경제/경영;\10,000
45;9,78891E+12;무소유(2판)(양장본 HardCover);법정;범우사;19990805;시/에세이;\8,000
46;9,78894E+12;손님;황석영;창작과비평사;20070525;소설;\13,000
47;9,78899E+12;BODY FOR LIFE;BILL PHILLIPS;한국언론자료간행회;20010205;건강;\12,000
48;9,78897E+12;선의 나침반 1;현각;열림원;20010315;종교;\7,500
49;9,78892E+12;TOEIC 터미네이터(R/C);최종민;시사영어사;19990625;외국어;\15,000
50;9,78894E+12;이슬람;이희수;청아출판사;20080410;역사/문화;\13,000
