순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9788965700609;멈추면 비로소 보이는 것들;혜민 스님;쌤앤파커스;20120127;시/에세이;\14,000
2;9788934958710;안철수의 생각;안철수;김영사;20120719;시/에세이;\13,000
3;9788933870181;어떻게 원하는 것을 얻는가;스튜어트 다이아몬드;8.0(에이트 포인트);20111130;자기계발;\15,000
4;9788965700036;아프니까 청춘이다;김난도;쌤앤파커스;20101224;시/에세이;\14,000
5;9788963710341;해를 품은 달. 1;정은궐;파란미디어;20111020;소설;\13,000
6;9788954618984;천 번을 흔들려야 어른이 된다;김난도;오우아;20120828;시/에세이;\14,000
7;9788984371026;빅 픽처;더글라스 케네디;밝은세상;20100610;소설;\12,000
8;9788994013503;내가 알고 있는걸 당신도 알게 된다면;칼 필레머;토네이도;20120512;자기계발;\14,000
9;9788993928488;바람이 분다 당신이 좋다;이병률;달;20120701;여행;\13,800
10;9788965420217;해커스 토익 보카(인덱스포함)(증보판);David Cho;해커스어학연구소;20110520;외국어;\12,900
11;9788960652811;달팽이가 느려도 늦지 않다;정목 스님;공감;20120515;시/에세이;\14,000
12;9788950935665;남자의 물건;김정운;21세기북스;20120207;자기계발;\15,000
13;9788937833663;돈으로 살 수 없는 것들;마이클 샌델;와이즈베리;20120424;인문;\16,000
14;9788984371125;천사의 부름;기욤 뮈소;밝은세상;20111215;소설;\13,500
15;9788984314207;스님의 주례사;법륜;휴;20100913;종교;\12,000
16;9788996746416;나는 까칠하게 살기로 했다;양창순;센추리원;20120215;자기계발;\15,000
17;9788990700582;해커스 토익 READING(3판)(단어암기장1권, 해설집1권포함);David Cho;해커스어학연구소;20081101;외국어;\18,800
18;9788954610681;은교(갈망 3부작)(양장본 HardCover);박범신;문학동네;20150810;소설;\13,500
19;9788901130460;자기혁명(시골의사 박경철의);박경철;리더스북;20111005;자기계발;\16,000
20;9788971848784;주기자: 주진우의 정통시사활극;주진우;푸른숲;20120329;정치/사회;\13,500
21;9788934939603;정의란 무엇인가;마이클 샌델;김영사;20101020;인문;\15,000
22;9788990700469;해커스 토익 스타트 READING(초보토익 4주완성);David Cho;해커스어학연구소;20081125;외국어;\14,900
23;9788959136612;오늘 내가 살아갈 이유;위지안;예담;20111220;시/에세이;\12,900
24;9788950933401;마흔 논어를 읽어야 할 시간;신정근;21세기북스;20111005;자기계발;\15,000
25;9788950933050;노는 만큼 성공한다(개정판);김정운;21세기북스;20110905;자기계발;\15,000
26;9788991239685;백설공주에게 죽음을(타우누스 시리즈 4);넬레 노이하우스;북로드;20110211;소설;\13,800
27;9788950935252;마법천자문. 20: 내 모든 걸 너에게 남길 유(손오공의 한자 대탐험);김현수;아울북;20120110;어린이(초등);\9,800
28;9788952764232;방황해도 괜찮아;법륜;지식채널;20121201;시/에세이;\13,000
29;9788971848685;닥치고 정치;김어준;푸른숲;20111010;정치/사회;\13,500
30;9788990700568;해커스 토익 LISTENING(개정판 3판)(CD1장, 해설집포함);David Cho;해커스어학연구소;20081101;외국어;\18,800
31;9788965743279;절대강자(양장본 HardCover);이외수;해냄출판사;20111206;시/에세이;\14,500
32;9788954617437;화차(블랙펜 클럽(Black Pen Club) 24);미야베 미유키;문학동네;20120220;소설;\13,800
33;9788975045653;나를 위한 하루 선물;서동식;함께북스;20111130;시/에세이;\12,000
34;9788993838220;나의 상처는 돌 너의 상처는 꽃;류시화;문학의숲;20120428;시/에세이;\8,500
35;9788960865273;하루 15분 정리의 힘;윤선현;위즈덤하우스;20120323;자기계발;\13,800
36;9788937483943;스티브 잡스(양장본 HardCover);월터 아이작슨;민음사;20111024;경제/경영;\25,000
37;9788984315112;엄마 수업;법륜;휴;20111014;가정/육아;\12,000
38;9788934940067;나는 아직 어른이 되려면 멀었다;강세형;김영사;20100715;시/에세이;\11,000
39;9788932915371;웃음. 1(양장본 HardCover);베르나르 베르베르;열린책들;20111130;소설;\13,800
40;9788901116150;여자를 증오한 남자들. 1(밀레니엄 1부);스티그 라르손;뿔;20110121;소설;\13,000
41;9788992441230;내 편이 아니라도 적을 만들지 마라;스샤오옌;다연;20120207;자기계발;\15,000
42;9788932909349;그리스인 조르바(열린책들 세계문학 21)(양장본 HardCover);니코스 카잔차키스;열린책들;20091220;소설;\12,800
43;9788901142654;나는 세계일주로 자본주의를 만났다;코너 우드먼;갤리온;20120328;경제/경영;\14,000
44;9788996786610;소통. 1(소통시리즈 영단어편);이시원;시원스쿨닷컴;20111229;외국어;\11,000
45;9788956055466;책은 도끼다;박웅현;북하우스;20111010;인문;\16,000
46;9788956991238;세도나 스토리;이승헌;한문화;20110916;시/에세이;\12,000
47;9788990700605;해커스 토익 스타트 LISTENING(CD1장포함);David Cho;해커스어학연구소;20081010;외국어;\12,900
48;9788925546872;콰이어트;수전 케인;알에이치코리아;20120630;자기계발;\14,000
49;9788954613026;리딩으로 리드하라(양장본 HardCover);이지성;문학동네;20101117;자기계발;\15,000
50;9788991239838;바람을 뿌리는 자(타우누스 시리즈 5);넬레 노이하우스;북로드;20120206;소설;\13,800
51;9788952766441;그레이의 50가지 그림자. 1;E L 제임스;시공사;20120807;소설;\12,000
52;9788915048249;임신 출산 육아 대백과(개정판);삼성출판사 편집부;삼성출판사;20150725;가정/육아;\18,500
53;9788936433673;엄마를 부탁해;신경숙;창비;20081110;소설;\13,000
54;9788974254896;꿈꾸는 다락방(양장본 HardCover);이지성;국일미디어;20070528;자기계발;\13,500
55;9788963706320;독서 천재가 된 홍대리;이지성;다산라이프;20110829;자기계발;\13,000
56;9788976777188;잊혀진 질문(내 가슴을 다시 뛰게 할);차동엽;명진출판사;20120107;자기계발;\16,000
57;9788946418233;무지개 곶의 찻집;모리사와 아키오;샘터(샘터사);20120529;소설;\13,000
58;9788982121951;삶이 자꾸 아프다고 말할 때;김재진;시와;20120702;시/에세이;\9,800
59;9788958625254;의자놀이;공지영;휴머니스트;20120816;정치/사회;\12,000
60;9788994025216;골프도 독학이 된다;김헌;양문;20120706;취미/실용/스포츠;\18,000
61;9788954611275;어디선가 나를 찾는 전화벨이 울리고;신경숙;문학동네;20100519;소설;\11,500
62;9788965700616;가끔은 제정신;허태균;쌤앤파커스;20120210;인문;\14,000
63;9788901148007;스마트한 생각들;롤프 도벨리;걷는나무;20120628;자기계발;\14,000
64;9788986836240;왜 나는 너를 사랑하는가(개정판)(양장본 HardCover);알랭 드 보통;청미래;20130115;소설;\12,000
65;9788934956150;생각에 관한 생각;대니얼 카너먼;김영사;20120330;경제/경영;\22,000
66;9788993928181;끌림(개정판 2판);이병률;달;20100701;여행;\13,000
67;9788990700315;HACKERS VOCABULARY(해커스 보캐블러리);David Cho;해커스어학연구소;20060620;외국어;\15,900
68;9788935703463;왓칭(WATCHING);김상운;정신세계사;20110412;자기계발;\13,000
69;9788997575084;사람은 무엇으로 성장하는가;존 맥스웰;비즈니스북스;20121005;자기계발;\14,500
70;9788901110806;FBI 행동의 심리학;조 내버로;리더스북;20100913;자기계발;\14,000
71;9788965743224;꿈이 그대를 춤추게 하라(아침편지 고도원의)(양장본 HardCover);고도원;해냄출판사;20120610;시/에세이;\13,800
72;9788993964349;고구려. 4: 사유와 무(양장본 HardCover);김진명;새움;20111202;소설;\12,800
73;9788950911546;프레임(나를 바꾸는 심리학의 지혜)(반양장);최인철;21세기북스;20110320;자기계발;\10,000
74;9788960172883;셜록홈즈: 실크하우스의 비밀(양장본 HardCover);앤터니 호로비츠;황금가지;20111220;소설;\12,000
75;9788954615228;십자군 이야기. 3;시오노 나나미;문학동네;20120516;역사/문화;\19,800
76;9788963708386;예감은 틀리지 않는다(양장본 HardCover);줄리언 반스;다산책방;20120326;소설;\12,800
77;9788976820532;삐뽀삐뽀 119소아과(개정판 11판)(삐뽀삐뽀 시리즈 1);하정훈;그린비;20140510;가정/육아;\29,800
78;9788992247511;성경과 5대 제국(통박사 조병호의);조병호;통독원;20110307;종교;\15,000
79;9788956604992;7년의 밤;정유정;은행나무;20160530;소설;\14,500
80;9788926391914;메이플 스토리 오프라인 RPG. 50(코믹);송도수;서울문화사;20120220;어린이(초등);\8,900
81;9788976777171;통섭의 식탁;최재천;명진출판사;20111230;인문;\15,000
82;9788982641251;사랑하지 말자(반양장);김용옥;통나무;20120825;인문;\15,000
83;9788936433871;두근 두근 내 인생;김애란;창비;20110620;소설;\12,000
84;9788954617383;기나긴 하루(문학동네 소설집)(양장본 HardCover);박완서;문학동네;20120120;소설;\12,000
85;9788956606187;별을 스치는 바람. 1;이정명;은행나무;20120711;소설;\12,000
86;9788932910864;베르나르 베르베르의 상상력 사전;베르나르 베르베르;열린책들;20110303;시/에세이;\15,800
87;9788954618199;사랑의 기초: 한 남자(양장본 HardCover);알랭 드 보통;톨;20120509;소설;\11,000
88;9788974255893;무지개 원리(전면개정판)(양장본 HardCover);차동엽;국일미디어;20120425;자기계발;\14,800
89;9788950926298;생각 버리기 연습;코이케 류노스케;21세기북스;20100910;자기계발;\12,000
90;9788954618182;사랑의 기초: 연인들(양장본 HardCover);정이현;톨;20120509;소설;\11,000
91;9788959972630;토마토 BASIC READING(토익이 가벼워지는)(2판)(필수단어암기장포함);이성룡;능률교육;20081010;외국어;\12,000
92;9788984056725;인생이 빛나는 정리의 마법;곤도 마리에;더난출판사;20120413;자기계발;\13,000
93;9788965420125;해커스 토익 스피킹 스타트(CD2장포함);David Cho;해커스어학연구소;20110406;외국어;\19,800
94;9788950940768;언니의 독설(흔들리는 30대를 위한)(2판);김미경;21세기북스;20121015;자기계발;\16,000
95;9788936472184;나의 문화유산답사기. 7;유홍준;창비;20120915;역사/문화;\18,000
96;9788984371071;종이 여자;기욤 뮈소;밝은세상;20101221;소설;\12,000
97;9788972753698;용의자 X의 헌신(양장본 HardCover);히가시노 게이고;현대문학;20060810;소설;\13,000
98;9788978494298;초역 니체의 말(양장본 HardCover);프리드리히 니체;삼호미디어;20101105;인문;\12,000
99;9788965960232;앞으로 10년 돈의 배반이 시작된다;로버트 기요사키;흐름출판;20120323;경제/경영;\15,000
100;9788932022888;피로사회;한병철;문학과지성사;20120305;인문;\10,000
101;9788995501474;사랑하라 한번도 상처받지 않은 것처럼;류시화;오래된미래;20081024;시/에세이;\9,500
102;9788970128719;옥수수와 나(제36회 이상문학상 작품집 2012년);김영하;문학사상;20120116;소설;\13,800
103;9788994343648;채소의 기분 바다표범의 키스(양장본 HardCover);무라카미 하루키;비채;20120627;시/에세이;\13,000
104;9788937484667;3차 산업혁명;제레미 리프킨;민음사;20120504;정치/사회;\20,000
105;9788956605593;불안(양장본 HardCover);알랭 드 보통;은행나무;20120104;시/에세이;\14,000
106;9788959136896;스물아홉 생일 1년 후 죽기로 결심했다;하야마 아마리;예담;20120720;시/에세이;\12,800
107;9788998010041;1일1식;나구모 요시노리;위즈덤하우스;20120910;건강;\13,000
108;9788987523231;이 세상 살지 말고 영원한 행복의 나라 가서 살자(양장본 HardCover);우명;참출판사;20110701;인문;\12,000
109;9788901150598;습관의 힘;찰스 두히그;갤리온;20121030;자기계발;\16,000
110;9788901114637;서른 살엔 미처 몰랐던 것들;김선경;걷는나무;20101118;시/에세이;\13,000
111;9788991120631;인문학 공부법(통찰력을 길러주는);안상헌;북포스;20120620;인문;\15,000
112;9788960512122;무엇을 선택할 것인가;장하준;부키;20120323;경제/경영;\14,900
113;9788901107585;멈추지마 다시 꿈부터 써봐;김수영;웅진지식하우스;20110219;시/에세이;\12,000
114;9788984370753;구해줘(2판);기욤 뮈소;밝은세상;20100913;소설;\11,000
115;9788901110691;나는 세계일주로 경제를 배웠다;코너 우드먼;갤리온;20110325;경제/경영;\13,800
116;9788970127248;총 균 쇠;재레드 다이아몬드;문학사상;20051219;역사/문화;\28,000
117;9788976820754;삐뽀삐뽀 119 이유식;하정훈;그린비;20060915;요리;\11,900
118;9788960865488;유수연의 독설(반양장);유수연;위즈덤하우스;20120716;자기계발;\13,000
119;9788954427173;시간을 파는 상점(자음과모음 청소년문학 15);김선영;자음과모음;20120410;소설;\11,000
120;9788937832611;헝거 게임(양장본 HardCover);수잔 콜린스;북폴리오;20091102;소설;\13,000
121;9788925295992;원피스. 65: 제로로;Eiichiro Oda;대원씨아이;20120321;만화;\5,000
122;9788960864788;Ustar TOEIC(유스타토익): Reading;유수연;위즈덤하우스;20111015;외국어;\18,900
123;9788947528504;멀티플라이어(리즈 와이즈먼);리즈 와이즈먼;한국경제신문사;20120608;경제/경영;\16,000
124;9788958285342;철학이 필요한 시간;강신주;사계절;20110215;인문;\17,800
125;9788984371170;템테이션;더글라스 케네디;밝은세상;20121002;소설;\13,500
126;9788959972654;토마토 BASIC LISTENING(TAPE 별매)(토익이 가벼워지는)(2판);이성룡;능률교육;20081010;외국어;\12,000
127;9788995816769;지금 사랑하지 않는 자 모두 유죄;노희경;헤르메스미디어;20081216;시/에세이;\10,000
128;9788961884310;4천만이 검색한 오늘의 요리;이혜영;중앙북스;20100217;요리;\13,000
129;9788990700865;해커스 텝스 보카;David Cho;해커스어학연구소;20100104;외국어;\14,900
130;9788965960126;마흔에 읽는 손자병법;강상구;흐름출판;20110720;자기계발;\14,000
131;9788917210316;ETS TOEIC LISTENING PREP BOOK;ETS;YBM SISA;20110610;외국어;\19,800
132;9788959891726;트렌드 코리아 2012;김난도;미래의창;20111201;경제/경영;\15,000
133;9788993976755;보스의 탄생;린다 A. 힐;SEEDPAPER;20120222;경제/경영;\16,000
134;9788947527897;내 아이를 위한 감정코칭(존 가트맨 최성애 박사의);존 가트맨;한국경제신문사;20110216;가정/육아;\15,800
135;9788985961691;깨달음;법륜;정토출판;20120215;종교;\12,000
136;9788917210323;ETS TOEIC READING PREP BOOK;ETS;YBM SISA;20110610;외국어;\19,800
137;9788991731493;부모라면 유대인처럼;고재학;위즈덤하우스;20101215;가정/육아;\13,800
138;9788901142593;문제는 경제다;선대인;웅진지식하우스;20120302;경제/경영;\15,000
139;9788970650340;논어(슬기바다 1);공자;홍익출판사;20050411;인문;\15,000
140;9788965420163;HACKERS TOEFL READING(2ND IBT EDITION)(개정판)(CD1장포함);David Cho;해커스어학연구소;20110616;외국어;\19,800
141;9788963700342;덕혜옹주;권비영;다산책방;20091214;소설;\11,800
142;9788954616638;모르는 여인들;신경숙;문학동네;20111123;소설;\12,000
143;9788984371132;파리5구의 여인;더글라스 케네디;밝은세상;20120130;소설;\13,500
144;9788990794529;사랑해 사랑해 사랑해(아기 그림책 보물창고 1)(양장본 HardCover);버나뎃 로제티 슈스탁;보물창고;20190325;유아(0~7세);\10,500
145;9788949123141;가시고백(양장본 HardCover);김려령;비룡소;20120205;소설;\13,000
146;9788932471631;이기적 유전자(개정판);리처드 도킨스;을유문화사;20100810;과학;\18,000
147;9788934956402;일침;정민;김영사;20120327;인문;\14,000
148;9788947528429;아플 수도 없는 마흔이다;이의수;한국경제신문사;20120315;시/에세이;\13,000
149;9788993357837;광수생각(양장본 HardCover);박광수;북클라우드;20120825;시/에세이;\15,000
150;9788960652668;여보 고마워;고혜정;공감;20111230;시/에세이;\13,800
151;9788901150796;당신의 꿈은 무엇입니까;김수영;웅진지식하우스;20120920;시/에세이;\15,000
152;9788963707785;운명을 바꾸는 10년 통장;고득성;다산북스;20120105;경제/경영;\13,000
153;9788960511194;그들이 말하지 않는 23가지;장하준;부키;20101108;경제/경영;\14,800
154;9788996347200;아기가 잘먹는 이유식은 따로 있다;김정미;레시피팩토리;20100201;요리;\12,800
