순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9788936433673;엄마를 부탁해;신경숙;창비;20081110;소설;\13,000
2;9788954608640;1Q84. 1(양장본 HardCover);무라카미 하루키;문학동네;20090825;소설;\14,800
3;9788995584194;매일 읽는 긍정의 한 줄(양장본 HardCover);린다 피콘;책이있는풍경;20081228;시/에세이;\10,000
4;9788971848173;그건 사랑이었네;한비야;푸른숲;20090706;시/에세이;\12,000
5;9788993285550;4개의 통장. 1;고경호;다산북스;20090110;경제/경영;\11,000
6;9788992647601;세상에 너를 소리쳐;빅뱅;쌤앤파커스;20090128;시/에세이;\15,000
7;9788990700582;해커스 토익 READING(3판)(단어암기장1권, 해설집1권포함);David Cho;해커스어학연구소;20081101;외국어;\18,800
8;9788946417489;살아온 기적 살아갈 기적;장영희;샘터(샘터사);20090512;시/에세이;\11,000
9;9788901093154;넛지 : 똑똑한 선택을 이끄는 힘(양장본 HardCover);리처드 탈러;리더스북;20090422;경제/경영;\15,500
10;9788932908557;신. 1;베르나르 베르베르;열린책들;20081120;소설;\9,800
11;9788961888110;공부하는 독종이 살아남는다;이시형;중앙북스;20090310;자기계발;\13,000
12;9788996047636;네가 어떤 삶을 살든 나는 너를 응원할 것이다(양장본 HardCover);공지영;오픈하우스;20080324;시/에세이;\14,400
13;9788901083353;ENGLISH RESTART BASIC;I. A. RICHARDS;뉴런;20080707;외국어;\9,000
14;9788995816769;지금 사랑하지 않는 자 모두 유죄;노희경;헤르메스미디어;20081216;시/에세이;\10,000
15;9788990700469;해커스 토익 스타트 READING(초보토익 4주완성);David Cho;해커스어학연구소;20081125;외국어;\14,900
16;9788990700346;해커스 토익 보카(무료 단어암기 TEST, 무료학습자료 제공);David Cho;해커스어학연구소;20060821;외국어;\12,900
17;9788934933755;평화를 사랑하는 세계인으로;문선명;김영사;20090309;시/에세이;\14,500
18;9788936433703;도가니;공지영;창비;20090630;소설;\12,000
19;9788990700568;해커스 토익 LISTENING(개정판 3판)(CD1장, 해설집포함);David Cho;해커스어학연구소;20081101;외국어;\18,800
20;9788957090343;더 리더: 책 읽어주는 남자;베른하르트 슐링크;이레;20090129;소설;\10,800
21;9788988537015;천년의 금서(양장본 HardCover);김진명;새움;20190311;소설;\13,800
22;9788952206503;시크릿(양장본 HardCover);론다 번;살림Biz;20070618;자기계발;\13,800
23;9788901091556;참 서툰 사람들(양장본 HardCover);박광수;갤리온;20090120;시/에세이;\13,800
24;9788937832543;브레이킹 던: 트와일라잇 4부;스테프니 메이어;북폴리오;20090615;소설;\16,000
25;9788901078588;서른살이 심리학에게 묻다;김혜남;갤리온;20080218;인문;\12,000
26;9788934933151;아웃라이어(OUTLIERS);말콤 글래드웰;김영사;20090127;자기계발;\13,000
27;9788973370603;청춘불패: 이외수의 소생법;이외수;해냄출판사;20090520;시/에세이;\14,500
28;9788901091693;듀이;비키 마이런;갤리온;20090129;시/에세이;\13,000
29;9788973374939;눈먼 자들의 도시(양장본 HardCover);주제 사라마구;해냄출판사;20150415;소설;\14,500
30;9788937832215;뉴문(New moon): 트와일라잇 2부;스테프니 메이어;북폴리오;20080805;소설;\13,000
31;9788937832208;트와일라잇(Twilight): 트와일라잇 1부;스테프니 메이어;북폴리오;20080705;소설;\13,000
32;9788901098227;시원스쿨 기초영어법(CD1장포함);이시원;엘도라도;20090729;외국어;\13,000
33;9788937832468;이클립스(Eclipse): 트와일라잇 3부;스테프니 메이어;북폴리오;20081222;소설;\14,000
34;9788901083360;ENGLISH RESTART ADVANCED. 1 :스피킹편;I. A. RICHARDS;뉴런;20080707;외국어;\10,000
35;9788960510197;나쁜 사마리아인들;장하준;부키;20071010;경제/경영;\14,000
36;9788933830406;오두막;윌리엄 폴 영;세계사;20150826;소설;\13,800
37;9788984313170;아주 가벼운 깃털 하나;공지영;한겨레출판사;20090216;시/에세이;\12,000
38;9788954606417;개밥바라기별(양장본 HardCover);황석영;문학동네;20080801;소설;\10,000
39;9788925521190;화폐전쟁(양장본 HardCover);쑹훙빙;랜덤하우스코리아;20080728;경제/경영;\20,000
40;9788990700605;해커스 토익 스타트 LISTENING(CD1장포함);David Cho;해커스어학연구소;20081010;외국어;\12,900
41;9788954603874;너도 떠나보면 나를 알게 될 거야;김동영;달;20070918;여행;\12,000
42;9788956990668;뇌파진동: 원하는 것을 이루는 뇌의 비밀;이승헌;브레인월드;20080227;건강;\10,000
43;9788901093987;심리학이 서른 살에게 답하다;김혜남;걷는나무;20090511;인문;\12,000
44;9788995904961;아름다운 마무리(반양장);법정;문학의숲;20081115;시/에세이;\11,500
45;9788974562700;미실(제1회 세계문학상 당선작);김별아;문이당;20050305;소설;\9,500
46;9788972753698;용의자 X의 헌신(양장본 HardCover);히가시노 게이고;현대문학;20060810;소설;\13,000
47;9788995904985;일기일회(一期一會)(법정 스님 법문집 1);법정;문학의숲;20090527;시/에세이;\15,000
48;9788992647595;일본전산 이야기;김성호;쌤앤파커스;20090101;경제/경영;\13,000
49;9788976776075;열등감을 희망으로 바꾼 오바마 이야기(청소년 롤모델 시리즈 2)(반양장);헤더 레어 와그너;명진출판사;20081024;시/에세이;\6,500
50;9788984370753;구해줘(2판);기욤 뮈소;밝은세상;20100913;소설;\11,000
51;9788990700315;HACKERS VOCABULARY(해커스 보캐블러리);David Cho;해커스어학연구소;20060620;외국어;\15,900
52;9788993285819;스물일곱 이건희처럼;이지성;다산라이프;20090319;자기계발;\10,000
