title,title2,rating,tags
1Q84 1,4월－6월,8.8,"#방탄소년단추천,#아이돌셀러"
좋은 이별,김형경 애도 심리 에세이,8.7,
성공과 좌절,노무현 대통령 못다 쓴 회고록,9.0,
아웃라이어,성공의 기회를 발견한 사람들,8.6,#톱클래스의비밀
삐뽀삐뽀 119 소아과,,9.0,
브레이킹 던,,8.8,#영화드라마원작
뉴문,,8.7,#영화드라마원작
위험한 경제학 1,부동산의 비밀 편,7.6,
넛지,똑똑한 선택을 이끄는 힘,8.2,
오 해피데이,,8.8,
해커스 토익 Reading 리딩,2008년판,9.6,
이스라엘에서 보물찾기,,7.5,
설득의 비밀,EBS 다큐프라임,8.9,
시간 여행자의 아내 1,,8.6,#영화드라마원작
It’s Not Grammar 이츠낫그래머,말하고 쓰려면 문법부터 다시하라,8.8,
로스트 심벌 1,,8.2,
이혜영의 패션바이블 The Fashion Bible,,8.5,
메시지 (신약),일상의 언어로 쓰여진 성경 옆의 성경,9.8,
고백,,9.2,#영화드라마원작
괜찮아,"괜찮아+기차 ㄱㄴㄷ+바람이 좋아요+가족은 꼬옥 안아주는 거야+기분을 말해 봐!+얘들아, 학교 가자",9.4,"#감정,#자존감,#다양성,#무료배송쿠폰도서"
IRIS 아이리스 1,첨단 첩보 스릴러,8.3,#영화드라마원작
행복의 정복,,8.7,
네가 어떤 삶을 살든 나는 너를 응원할 것이다,,8.6,
상실의 시대,,8.1,"#영화드라마원작,#방탄소년단추천,#아이돌셀러"
"최강희, 사소한 아이의 소소한 행복",,8.7,
"한 사람은 모두를, 모두는 한 사람을",一卽一切多卽一,9.5,
나는 아내와의 결혼을 후회한다,영원히 철들지 않는 남자들의 문화심리학,8.3,
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
엄마 학교,,8.7,
서른살이 심리학에게 묻다,대한민국 30대를 위한 심리치유 카페,8.5,
악의 추억,,8.3,
멀리 가려면 함께 가라,세상을 내 편으로 만든 사람들의 비밀,7.6,
시골의사의 아름다운 동행 1,,9.3,
머리가 좋아지는 인도수학,인도 베다수학 완벽 트레이닝,7.2,
살아온 기적 살아갈 기적,장영희 에세이,9.4,
천년의 금서,,8.5,
미네르바의 생존경제학,경제를 바라보는 새로운 패러다임,8.4,
4개의 통장,평범한 사람이 목돈을 만드는 가장 빠른 시스템,8.2,
인생사용설명서,단 한 번뿐인 삶을 위한 일곱 가지 물음,8.5,
은행의 사생활,서민들만 모르는 은행거래의 비밀,8.2,
삐뽀삐뽀 119 이유식,소아과 전문의 하정훈의,8.7,
로스트 심벌 2,,8.1,
책만 보는 바보,이덕무와 그의 벗들 이야기,9.1,
조혜련의 미래일기,쓰는 순간 인생이 바뀌는,9.1,
평화가 깃든 밥상,쉽고 소박한 문성희의 자연 요리,9.1,
나쁜 사마리아인들,장하준의 경제학 파노라마,9.1,
위험한 경제학 2,서민 경제의 미래,9.2,
일본전산 이야기,"불황기 10배 성장, 손대는 분야마다 세계 1위, 신화가 된 회사",8.5,
구름빵,"구름빵, Cloud Bread",9.6,"#상상력,#TV방영,#무료배송쿠폰도서"
내 영혼이 따뜻했던 날들,,8.9,
사랑해 모두모두 사랑해,,9.6,
나를 살린 자연식 밥상,송학운 김옥경 부부의,7.0,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
보통의 존재,,8.6,"#노래하는작가,#감성,#연예인작가"
The Secret 시크릿,수 세기 동안 단 1%만이 알았던 부와 성공의 비밀,7.3,#생활습관
해커스 토익 보카 Vocabulary,토익 기출어휘 30일 정복,8.6,
해커스 토익 Listening 리스닝,개정판,8.5,
천 개의 찬란한 태양,,9.3,#페미니즘
도가니,,9.1,
노벨상 수상자가 들려주는 미생물 이야기,,9.6,
지하철과 코코넛,부와 성공을 좌우하는 ‘운’의 비밀,8.8,
위험한 심리학,천가지 표정 뒤에 숨은 만가지 본심 읽기,7.7,
지식 e 5,가슴으로 읽는 우리 시대의 지식,8.2,
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
시간 여행자의 아내 2,,8.6,
이클립스,,8.4,
우리 아빠가 최고야,,9.3,"#감동,#아이사랑,#아빠도함께봐요"
트와일라잇,,8.6,"#영화드라마원작,#기묘한괴담"
왜 세계의 절반은 굶주리는가?,유엔 식량특별조사관이 아들에게 들려주는 기아의 진실,8.8,
연을 쫓는 아이,,9.5,
백야행 3,,8.6,
백야행 2,,8.7,
백야행 1,,8.3,
엄마를 부탁해,,9.1,"#가족관계,#밀리언셀러,#읽다보면눈물바다"
아이의 사생활,내 아이의 운명을 결정짓는 혁명적인 책,9.5,
파페포포 레인보우,,9.1,
공무도하,,8.4,
청춘의 독서,세상을 바꾼 위험하고 위대한 생각들,8.9,
"그건, 사랑이었네",,9.1,
1Q84 2,7월－9월,8.7,"#방탄소년단추천,#아이돌셀러"
