title,title2,rating,tags
고요할수록 밝아지는 것들,혜민 스님과 함께 지혜와 평온으로 가는 길,9.4,"#행복,#소확행,#베스트셀러후속작,#마음공부,#일상을위로하다,#부처핸접"
골든아워 2,"생과 사의 경계, 중증외상센터의 기록 2002-2013",9.6,"#사회비판,#긴여운,#의사"
다산의 마지막 공부,마음을 지켜낸다는 것,8.9,"#교양쌓기,#마음공부,#어른공부법,#인생지침서,#심경,#공부도힙하게"
하마터면 열심히 살 뻔했다,,8.8,"#대충살자,#일상을위로하다"
리밸런싱,2019년 이후 경제 충격 현황에 관하여,7.5,"#유튜버,#세계경제,#한국경제,#경제전망"
설민석의 통일 대모험 - 하,"통일 편 “설쌤, 통일 한반도가 궁금해요!”",9.4,"#학습만화,#어린이역사책"
죽고 싶지만 떡볶이는 먹고 싶어,,7.9,"#우울증,#독립출판,#심리학처방전,#정신건강의학과상담,#죽고싶을때"
수미네 반찬,김수미표 요만치 레시피북,8.7,"#반찬고민,#엄마손맛,#연예인작가,#TV방영,#오늘뭐먹지,#식사를합시다"
열두 발자국,생각의 모험으로 지성의 숲으로 지도 밖의 세계로 이끄는 열두 번의 강의,9.3,"#교양쌓기,#베스트셀러후속작,#뇌과학"
언어의 온도,말과 글에는 나름의 따뜻함과 차가움이 있다,8.2,"#남자친구,#일상을위로하다,#밀리언셀러,#같이펀딩에나온책"
돌이킬 수 없는 약속,,8.4,"#복선,#반전,#책끝을접다,#역주행베스트셀러"
당신이 옳다,정혜신의 적정심리학,9.3,"#일상을위로하다,#문재인대통령이읽은책,#책선물,#뭐읽지"
역사의 역사,History of Writing History,8.9,"#교양쌓기,#책덕후,#베스트셀러후속작,#알쓸신잡,#세계사"
나는 나로 살기로 했다,냉담한 현실에서 어른살이를 위한 to do list,9.0,"#삶이고단할때,#일상을위로하다,#마음공부,#청춘,#심리학처방전,#명절홧병타파,#나답게살자,#잠시쉼표"
골든아워 1,"생과 사의 경계, 중증외상센터의 기록 2002-2013",9.6,"#사회비판,#긴여운,#의사"
개인주의자 선언,판사 문유석의 일상유감,8.9,"#사회비판,#개인,#연대,#법조인이쓴책,#뭐읽지,#명절홧병타파"
"걷는 사람, 하정우",,8.9,"#연예인작가,#일상을위로하다,#책읽아웃,#김미경TV,#운동에세이,#배우의삶,#유튜브셀러"
네모아저씨의 페이퍼 블레이드,색종이 3장이면 멋진 팽이가 내 것!,9.4,"#유튜브크리에이터,#종이접기"
