title,title2,rating,tags
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
오베라는 남자,,9.1,"#영화드라마원작,#북유럽할아버지할머니"
2016 전한길 한국사 합격생 필기노트,,9.5,
백종원이 추천하는 집밥 메뉴 52,,8.7,"#반찬고민,#집밥의변신,#무료배송쿠폰도서"
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",9.0,"#교양쌓기,#인문학입문"
혼자 있는 시간의 힘,,7.8,#관계
삼성의 CEO들은 무엇을 공부하는가,최초 공개! 삼성그룹 사장단이 뽑은 최고의 명강의 30,7.2,
글자전쟁,,8.8,
마션,어느 괴짜 과학자의 화성판 어드벤처 생존기,9.0,"#빨간책방,#영화드라마원작"
지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",9.0,"#인문학입문,#교양쌓기"
사장의 생각,"사장은 무엇을 고민하고, 어떻게 해결하는가",8.8,
에듀스 GSAT 삼성직무적성검사 실전모의고사,,9.7,
출동! 슈퍼윙스 세계 국기카드 120,,9.1,
걸 온 더 트레인 THE GIRL ON THE TRAIN,,8.7,#영화드라마원작
사랑 이야기,,8.4,
"조훈현, 고수의 생각법",생각은 반드시 답을 찾는다,8.9,
내 옆에 있는 사람,이병률 여행산문집,8.5,
한국인만 모르는 다른 대한민국,하버드대 박사가 본 한국의 가능성,8.4,
워런 버핏의 주주 서한,워런 버핏이 직접 쓴 유일한 책,9.0,
해커스 토익 실전 1000제 리딩 2 문제집,,9.2,
유능한 초등교사는 자신의 아이를 어떻게 가르치는가,자녀의 진로지도에 성공한 초등교사 23인의 노하우,9.2,
곁에 두고 읽는 니체,,8.6,
삐뽀삐뽀 119 소아과,,9.0,
지금까지 없던 세상,당신이 만날 미래의 업業,9.1,
2016 전한길 한국사 3.0 기출문제집,,9.5,
생각하는 인문학,5000년 역사를 만든 동서양 천재들의 사색공부법,8.9,#책읽아웃
엄마의 말공부,기적 같은 변화를 불러오는 작은 말의 힘,9.1,"#자녀교육,#말의힘"
슈크레 케이크,,4.1,
당신의 이름을 지어다가 며칠은 먹었다,,8.8,"#감성,#선물하기좋은시집,#첫시집,#같이펀딩에나온책,#시시한게좋아"
일빵빵 입에 달고 사는 기초영어,동사 조동사 편,9.4,"#누구나영어할수있다,#패턴으로말하기,#분철"
메이즈 러너,메이즈 러너 + 스코치 트라이얼 + 데스 큐어,8.6,"#디스토피아,#영화드라마원작"
스코치 트라이얼,메이즈 러너 + 스코치 트라이얼 + 데스 큐어,7.8,"#디스토피아,#영화드라마원작"
해커스 토익 실전 1000제 리딩 1 문제집,,9.1,
적기교육,아이의 발달 속도에 맞는 최고의 양육법,9.1,
작가의 문장 수업,《미움받을 용기》고가 후미타케,8.7,#좋은글의비밀
임신 출산 육아 대백과,술술 잘 읽히는 첫아기 잘 키우는 법,9.4,"#부모교육,#자녀교육,#아이를키운다면한번쯤,#육아백과사전"
영단기 토익 LC,"최신 유형, 학습 전략, 문제풀이를 한 권으로 끝내는 기본서",9.0,
10년 안에 꼬마 빌딩 한 채 갖기,"월급쟁이, 빌딩주 되다!",8.5,
위포트 한권으로 끝내는 GSAT,,8.9,
예스24 크레마 카르타 (crema carta),,9.2,
데스 큐어,메이즈 러너 + 스코치 트라이얼 + 데스 큐어,7.9,"#디스토피아,#영화드라마원작"
파수꾼,,8.7,
라면을 끓이며,김훈 산문,8.6,
담론,신영복의 마지막 강의,9.2,#교양쌓기
유시민의 글쓰기 특강,,8.9,"#좋은글의비밀,#알쓸신잡,#작가의글쓰기"
바리스타 2급 자격시험 예상문제집,,8.6,
26층 나무 집,The 26-Story Treehouse (미국판),9.2,
시 읽는 밤 : 시 밤,,8.2,#시시한게좋아
MONEY 머니,부의 거인들이 밝히는 7단계 비밀,8.3,
슬램덩크 오리지널 판 1-5 박스세트,,9.8,
ETS TOEIC Test LC 공식실전서 1000,,8.6,
다윗과 골리앗,강자를 이기는 약자의 기술,8.4,
EBS 부모 청개구리 길들이기편,말 안 듣는 3~7세 아이 변신 프로젝트,9.6,
개코의 오픈 스튜디오,'믿고 보는 뷰티 블로거' 개코의 퍼펙트 리얼 메이크업 북,9.2,
영단기 토익 RC,,8.0,
행복해질 용기,기시미 이치로의 아들러 심리학 실천 지침,8.7,
해커스 토익 리스닝 (Hackers TOEIC Listening),,9.2,
메이블 이야기,,8.9,#감성
화폐의 몰락,,8.7,
크리에이터 코드,세상에서 가장 창조적인 기업가들의 6가지 생각 도구,9.0,#국립중앙도서관사서추천
