title,title2,rating,tags
여행의 이유,,8.9,"#여행어디까지가봤니,#깊은에세이,#알쓸신잡,#여행할때들고갈만한"
천년의 질문 1,,9.3,"#미래담론,#정치적올바름"
50대 사건으로 보는 돈의 역사,,7.7,"#교양쌓기,#돈이란무엇인가,#경제이야기,#경제사,#역사의흐름이읽힌다,#뭐읽지,#교과서에없는역사"
천년의 질문 3,,9.2,"#미래담론,#정치적올바름"
아주 작은 습관의 힘,최고의 변화는 어떻게 만들어지는가,9.4,"#습관만들기,#공부습관,#습관바꾸기,#생활습관,#김미경TV,#유튜브셀러"
공부머리 독서법,실현 가능하고 지속 가능한 독서교육의 모든 것,9.5,"#공부법,#독서교육,#자녀교육,#초중등인문학,#공부도힙하게,#독서력키우기"
연의 편지,,9.5,"#인기웹툰단행본,#애니메이션,#소장욕구,#친구관계,#일상미스터리,#감성미스터리"
천년의 질문 2,,9.4,"#미래담론,#정치적올바름"
"박막례, 이대로 죽을 순 없다",,9.6,"#SNS스타,#SNS에세이,#할머니글맛,#인플루언서,#행복한노년,#여성의목소리,#책읽아웃,#나답게살자"
흔한남매 1,,9.8,"#남매,#말장난,#소셜미디어,#무료배송쿠폰도서"
죽음 1,,8.8,"#삶과죽음,#누가날죽였지?,#더울땐SF"
축구를 하며 생각한 것들,,9.8,"#축구알고보면더재밌다,#축구"
죽음 2,,9.0,"#삶과죽음,#누가날죽였지?,#더울땐SF"
엄마 공부가 끝나면 아이 공부는 시작된다,세 아이를 영재로 키워낸 엄마의 성장 고백서,9.4,"#자녀교육,#아이를키운다면한번쯤"
나는 나로 살기로 했다,냉담한 현실에서 어른살이를 위한 to do list,9.0,"#삶이고단할때,#일상을위로하다,#마음공부,#청춘,#심리학처방전,#명절홧병타파,#나답게살자,#잠시쉼표"
인생의 마지막 순간에서,죽음과 죽어감에 관한 실질적 조언,8.7,"#삶과죽음,#죽음에관하여,#성찰,#죽고싶을때"
수미네 반찬,김수미표 요만치 레시피북,8.7,"#반찬고민,#엄마손맛,#연예인작가,#TV방영,#오늘뭐먹지,#식사를합시다"
미국에서 기죽지 않는 쓸만한 영어,"일상생활 필수 생존회화, 17만 구독자가 선택한 100% 현실 영어",9.6,"#동시통역,#누구나영어할수있다,#영어공부,#유튜버,#에듀테이너"
"걷는 사람, 하정우",,8.9,"#연예인작가,#일상을위로하다,#책읽아웃,#김미경TV,#운동에세이,#배우의삶,#유튜브셀러"
언어의 온도,말과 글에는 나름의 따뜻함과 차가움이 있다,8.2,"#남자친구,#일상을위로하다,#밀리언셀러,#같이펀딩에나온책"
월급쟁이 부자로 은퇴하라,3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법,9.7,"#직장인재테크,#부동산투자,#돈좀벌어보자,#텅장채우기"
해커스 토익 Listening LC,,9.0,"#너도나도보는토익기본서,#분철"
글의 품격 (리빙코랄),삶이 곧 하나의 문장이다,8.8,
내가 죽으면 장례식에 누가 와줄까,,9.6,"#SNS에세이,#일상을위로하다,#여행할때들고갈만한"
설민석의 세계사 대모험 1,,9.8,"#학습만화,#세계사"
해커스 토익 실전 1000제 1 LISTENING 문제집,실전모의고사 10회분,9.0,"#최신유형으로실전마무리,#너만알려줄게고득점비법,#연습을실전처럼,#신유형반영,#분철"
잊기 좋은 이름,,8.9,"#작가에세이,#깊은에세이,#뭐읽지,#책읽아웃"
아몬드,,9.1,"#관계,#이별과성장,#영어덜트소설,#연극뮤지컬원작"
다시 태어나도 엄마 딸,,9.5,"#첫번째소설,#희망,#가족소설"
사피엔스,"유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9.2,"#교양쌓기,#빌게이츠추천,#저커버그추천,#오바마추천,#빨간책방,#인류3부작,#요즘책방:책읽어드립니다"
한자와 나오키 1,당한 만큼 갚아준다,9.4,"#직장생활,#영화드라마원작,#새벽에읽기좋은책"
투에이스의 부동산 절세의 기술,"양도세, 종합소득세, 법인투자, 임대사업자까지 한 권으로 끝내는 세금 필독서",9.9,"#부동산공부,#절세법"
명탐정 코난 96,,9.0,"#탐정,#추리/미스터리/스릴러,#일상미스터리"
해커스 토익 실전 1000제 1 READING 문제집,실전모의고사 10회분,8.9,"#최신유형으로실전마무리,#너만알려줄게고득점비법,#연습을실전처럼,#신유형반영,#분철"
설민석의 세계사 대모험 2,,9.8,"#초등세계사,#홀로코스트"
나의 월급 독립 프로젝트,3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,8.9,"#주식투자,#주식투자입문,#돈좀벌어보자,#돈은없지만,#부자되는법,#직장인로망,#직장인재테크,#텅장채우기"
해커스 토익 Reading,,9.0,"#너도나도보는토익기본서,#분철"
방구석 미술관,가볍고 편하게 시작하는 유쾌한 교양 미술,9.4,"#교양쌓기,#국립중앙도서관사서추천,#미술공부,#내손안의미술관"
어른이 되면 괜찮을 줄 알았다,"심리학, 어른의 안부를 묻다",9.2,#마음공부
봉제인형 살인사건,,8.5,"#책끝을접다,#심리묘사,#반전"
룬의 아이들 - 윈터러 완전판 1~7 세트,,9.5,"#판타지,#소장욕구"
나의 마녀 1,가을 노래,9.9,"#판타지,#인기웹툰단행본,#색다른사랑"
설민석의 한국사 대모험 9,"독립운동 편, 설쌤, 공갈이를 구해주세요!",9.3,"#학습만화,#독립,#독립운동,#무료배송쿠폰도서"
Go Go 카카오프렌즈 8,인도,9.6,"#학습만화,#세계문화"
12가지 인생의 법칙,혼돈의 해독제,9.0,"#팩트폭행인생조언,#실용철학서,#철학자의인생론"
원피스 ONE PIECE 92,'오이란 코무라사키 등장',9.2,"#모험을떠나요,#판타지물"
이게 경제다,한국 경제가 확 잡히는 최배근 교수의 팩트 저격,9.2,#그러니까경제
빨강 머리 앤,,9.6,#20세기고전
동아 연세 초등국어사전,,9.4,"#국어교육의첫걸음,#초등국어"
아이를 위한 하루 한 줄 인문학,내면의 힘이 탄탄한 아이를 만드는 인생 문장 100,9.5,"#자녀교육,#초중등인문학,#아이와함께읽기좋은책"
고요할수록 밝아지는 것들,혜민 스님과 함께 지혜와 평온으로 가는 길,9.4,"#행복,#소확행,#베스트셀러후속작,#마음공부,#일상을위로하다,#부처핸접"
꽃을 보듯 너를 본다,,9.1,"#남자친구,#선물하기좋은시집,#감성,#드라마에소개된책,#시시한게좋아"
"대변동 위기, 선택, 변화",무엇을 선택하고 어떻게 변화할 것인가,9.3,
코스모스,특별판,9.2,"#교양쌓기,#알쓸신잡,#명강의,#우주,#멜로디책방"
역사의 쓸모,자유롭고 떳떳한 삶을 위한 22가지 통찰,9.5,"#큰별쌤,#역사를잊은민족에게미래는없다,#유쓸모,#유튜브셀러"
당신이 옳다,정혜신의 적정심리학,9.3,"#일상을위로하다,#문재인대통령이읽은책,#책선물,#뭐읽지"
[예스리커버] 엄마 심리 수업,엄마의 무의식이 아이를 키운다,9.7,
그것만 있을 리가 없잖아,,9.6,"#엉뚱한상상,#미래의나에게"
2019 하반기 위포트 코레일 한국철도공사 NCS 실전 봉투 모의고사,,9.4,"#공기업취업,#NCS,#공기업시험"
말투 때문에 말투 덕분에,실전에서 바로 써먹는 사례로 가득한,9.0,"#말잘하는법,#말투의심리학,#대화의기술,#관계"
ETS 토익 정기시험 기출문제집 1000 LISTENING 리스닝,,9.5,"#기출이답이다,#너만알려줄게고득점비법,#연습을실전처럼,#신유형반영,#분철"
말센스,흥분하지 않고 우아하게 리드하는,9.5,"#말투의심리학,#말잘하는법,#말의힘,#대화의기술,#김미경TV,#유튜브셀러,#뭐읽지"
머리가 좋아지는 똑똑 종이접기,영국 초등학교 선생님이 가르쳐 주는,9.0,"#두뇌발달,#아이랑뭐하고놀지?,#종이접기"
엄마의 말하기 연습,화내지 않고 상처 주지 않고 진심을 전하는,9.3,"#자녀교육,#부모교육,#화내지않고아이키우기"
숨,EXHALATION,8.9,"#기계와인간,#미래담론,#더울땐SF,#오바마추천"
ETS 토익 정기시험 기출문제집 1000 READING 리딩,,9.4,"#기출이답이다,#너만알려줄게고득점비법,#연습을실전처럼,#신유형반영,#분철"
90년생이 온다,"간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는",8.4,"#세대차이,#요즘애들,#밀레니얼세대,#김미경TV,#뭐읽지,#문재인대통령이읽은책,#명절홧병타파"
해커스 토익 기출 보카,,9.6,"#30일완성,#외국어공부단어가절반,#너도나도보는토익기본서,#신유형반영,#분철"
마법천자문 45,마구마구 탐해라! 욕심 욕 慾!,9.2,"#초등한자,#학습만화"
사일런트 페이션트,,9.2,"#반전미스터리,#범죄심리"
NU’EST ROAD 우리가 가는 길,,10.0,"#연예인,#TV방영,#덕질은이렇게"
돌이킬 수 없는 약속,,8.4,"#복선,#반전,#책끝을접다,#역주행베스트셀러"
철학은 어떻게 삶의 무기가 되는가,,9.2,"#실용철학서,#생활철학,#철학자의인생론,#유튜브셀러"
추리 천재 엉덩이 탐정과 카레 사건,1-6권 특별세트 + 7번 + 외전,9.3,"#초등미스터리,#애니메이션"
[예스리커버] 사업을 한다는 것,,9.4,"#리더들이읽는책,#경영수업,#경영바이블"
"진이, 지니",,9.2,"#삶과죽음,#죽음에관하여"
[예스리커버] 포노 사피엔스,스마트폰이 낳은 신인류,9.0,"#밀레니얼세대,#요즘애들,#김미경TV,#뭐읽지"
습관의 재발견,기적 같은 변화를 불러오는 작은 습관의 힘,8.6,"#SBS스페셜,#습관만들기,#습관바꾸기,#변화가필요해"
설민석의 한국사 대모험 10,"임시정부 편, 공갈이는 어디에?",9.4,"#대한민국임시정부,#학습만화"
아이 마음에 상처 주지 않는 습관,내 아이를 위한 따뜻한 심리학 공부,9.8,"#가족관계에힘이되는심리학,#부모는처음이라"
