title,title2,rating,tags
"멈추면, 비로소 보이는 것들",혜민 스님과 함께하는 내 마음 다시보기,9.1,
방황해도 괜찮아,법륜 스님의 청춘 멘토링,8.9,
해커스 토익 보카 Vocabulary,,9.2,
문제는 경제다,"버리고, 바꾸고, 바로 잡아야 할 것들",8.6,
리딩으로 리드하라,세상을 지배하는 0.1퍼센트의 인문고전 독서법,8.3,
가시고백,김려령 장편소설,9.0,
아이의 스트레스,,9.7,
논어,,8.0,
시골의사 박경철의 자기혁명,,8.6,
해를 품은 달 2,,8.8,
해를 품은 달 1,,8.7,"#영화드라마원작,#문학으로보는역사"
나는 꾼이다,,8.7,
어쨌거나 남자는 필요하다,남자와 함께하기로 결정한 당신에게,8.5,
주기자,주진우의 정통시사활극,9.3,
화차,,8.7,"#영화드라마원작,#빨간책방"
아프니까 청춘이다,인생 앞에 홀로 선 젊은 그대에게,8.5,
세도나 스토리,신성한 생명의 땅 세도나와 함께한 감동적인 영혼의 여행!,8.5,
아기가 잘 먹는 이유식은 따로 있다,,9.8,
"마흔살, 행복한 부자 아빠",1억으로 평생월급 만드는 원룸 상가주택 투자법,9.4,
웃음 2,베르나르 베르베르 장편소설,8.1,
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
아빠 말 좀 들어라! 5,,10.0,
고구려 4,사유와 무,9.1,#문학으로보는역사
소녀의 창의 스케치북,,9.8,
은교,,9.0,"#영화드라마원작,#빨간책방"
엄마를 부탁해,,9.1,"#가족관계,#밀리언셀러,#읽다보면눈물바다"
두근두근 내 인생,원더보이 + 가시고백 + 두근두근 내 인생,8.8,"#영화드라마원작,#책끝을접다"
땅에서 하늘처럼,,9.2,
1인분 인생,진짜 나답게 살기 위한 우석훈의 액션大로망,8.3,
절대지식 세계고전,,8.3,
세상에서 제일 힘 센 수탉,,8.5,#무료배송쿠폰도서
치즈 인 더 트랩 시즌 1 초회한정 세트판 (1),"「치즈 인 더 트랩 시즌 1」 1,2,3 세트",9.3,#원작웹툰
프로야구 스카우팅 리포트 2012,진짜 프로야구 팬이 선택한 유일한 스카우팅 리포트,7.0,
괜찮아,"괜찮아+기차 ㄱㄴㄷ+바람이 좋아요+가족은 꼬옥 안아주는 거야+기분을 말해 봐!+얘들아, 학교 가자",9.4,"#감정,#자존감,#다양성,#무료배송쿠폰도서"
초등 고전읽기 혁명,,9.3,
코믹 메이플스토리 오프라인 RPG 50,,,
마법천자문 21,하나가 되는 마음! 마음 심,8.8,
천사의 부름,,8.6,
백설공주에게 죽음을,,8.6,
"하루 15분, 기적의 노트공부법",,7.8,
내 아이를 위한 감정코칭,존 가트맨·최성애 박사의,9.2,"#자녀교육,#초등학교가기전에,#감수성교육"
책은 도끼다,,9.1,"#책덕후,#친절한인문학,#책읽는법을읽다"
마더쇼크,엄마의 행복한 자아를 찾기 위한 모성의 대반전,9.4,
마법의 설탕 두 조각,,8.9,#생활동화
왓칭 Watching,신이 부리는 요술,8.5,"#인생지침서,#삶을바꿀이야기,#긍정심리,#나도몰랐던나를찾아"
해커스 토익 실전 1000제 Listening 1 문제집,,7.9,
스노우맨,,8.8,"#영화드라마원작,#형사/탐정미스터리"
"앞으로 10년, 돈의 배반이 시작된다",부자 아빠가 되는 마지막 기회,8.8,
임신 출산 육아 대백과,술술 잘 읽히는 첫아기 잘 키우는 법,9.4,"#부모교육,#자녀교육,#아이를키운다면한번쯤,#육아백과사전"
너의 목소리가 들려,,8.1,"#알쓸신잡,#빨간책방,#김영하의책읽는시간"
삐뽀삐뽀 119 소아과,,9.0,
피로사회,,8.4,"#빨간책방,#사회비판,#우울증,#노동"
바람을 뿌리는 자,,8.5,
가끔은 제정신,우리는 늘 착각 속에 산다,8.4,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
엄마 수업,법륜 스님이 들려주는 우리 아이 지혜롭게 키우는 법,8.7,#부모교육
공자 아저씨네 빵가게,,9.4,
ETS TOEIC Reading Prep Book,,9.3,
독서 천재가 된 홍대리,운명을 바꾸는 책 읽기 프로젝트,8.7,
노는 만큼 성공한다,지식 에듀테이너이자 문화심리학자 김정운 교수가 제안하는 재미학,8.0,
"마흔, 논어를 읽어야 할 시간",인생의 굽이길에서 공자를 만나다,8.4,
스티브 잡스,,8.8,
초등 학생을 위한 탈무드 111가지,,9.2,
해커스 토익 Listening 리스닝,개정판,8.5,
닥치고 정치,김어준의 명랑시민 정치교본,9.0,
해커스 토익 실전 1000제 Reading 1 문제집,,8.5,
절대강자,이외수의 인생 정면 대결법,9.2,
소통 영단어편 세트,,9.2,
ETS TOEIC Listening Prep Book,,9.3,
빅 픽처,,8.6,#책끝을접다
꿈꾸는 다락방,,8.5,
오늘 내가 살아갈 이유,,9.1,
마법천자문 20,내 모든 걸 너에게! 남길 유,9.6,
해커스 토익 Reading 리딩,2008년판,9.6,
나는 까칠하게 살기로 했다,상처받지 않고 사람을 움직이는 관계의 심리학,7.9,
프레임,나를 바꾸는 심리학의 지혜,8.5,
정의란 무엇인가,,8.8,
무엇을 선택할 것인가,장하준 정승일 이종태의 쾌도난마 한국경제,8.4,
남자의 물건,김정운이 제안하는 존재확인의 문화심리학,8.4,
어떻게 원하는 것을 얻는가 밀리언 특별판,20년 연속 와튼스쿨 최고 인기 강의,8.5,"#톱클래스의비밀,#인간관계,#스페셜에디션,#협상테이블에서"
