title,title2,rating,tags
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
대통령의 시간 2008-2013,,7.3,
지금 여기 깨어있기,,9.3,
열두 마음,"일 년, 열두 달, 365일의 느낌표",8.9,
설득의 심리학 3 완결편,작은 시도로 큰 변화를 이끌어내는 ‘스몰 빅’의 놀라운 힘,8.8,
센트럴 파크,,8.3,
책 먹는 여우와 이야기 도둑,책 먹는 여우 + 책 먹는 여우와 이야기 도둑 + 잭키 마론과 악당 황금손 + 검은 유령 + 사라진 이야기 모자,9.0,"#풍자,#책덕후"
"나는 고작, 서른이다",340만 찌질이의 역습,8.0,
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
내 마음 다치지 않게,,8.7,#일상을위로하다
주기자의 사법활극,소송전문기자 주진우가 알려주는 소송에서 살아남는 법,9.3,
문득 사람이 그리운 날엔 시를 읽는다,,9.1,
창문 넘어 도망친 100세 노인,,8.8,"#영화드라마원작,#북유럽할아버지할머니"
지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",9.0,"#인문학입문,#교양쌓기"
하버드 새벽 4시 반,최고의 대학이 청춘에게 들려주는 성공 습관,8.3,
대화의 신,토크계의 전설 래리 킹에게 배우는 말하기의 모든 것,8.5,#대화의기술
강신주의 감정수업,스피노자와 함께 배우는 인간의 48가지 얼굴,8.7,
늦지 않았어 지금 시작해,천만 명의 인생을 자극한 소유흑향의 1525 청춘사용법,8.8,
진짜 기본 요리책,,9.6,"#반찬고민,#요리초보,#식사를합시다"
경선식 영단어 초스피드 암기비법 공편토,,9.2,
영어는 인도식으로 배워라,단 3단어로 1시간 안에 영어가 터진다!,8.8,
해커스 토익 실전 1000제 리스닝 1 문제집,,9.2,
상처받을 용기,모두에게 사랑받을 필요는 없다,8.5,
아기가 잘 먹는 이유식은 따로 있다,,9.8,
고양이 낸시,,9.6,"#순정만화,#감성"
