title,title2,rating,tags
1Q84 3,10월 - 12월,8.7,"#방탄소년단추천,#아이돌셀러"
해커스 토익 Reading 리딩,2008년판,9.6,
마켓 3.0,모든 것을 바꾸어놓을 새로운 시장의 도래,8.6,
내일은 실험왕 14,지질의 대결,9.6,
1Q84 2,7월－9월,8.7,"#방탄소년단추천,#아이돌셀러"
세로토닌하라!,사람은 감정에 따라 움직이고 감정은 뇌에 따라 움직인다,8.5,
나를 버리다,더 큰 나를 위해,9.1,
스무살에 알았더라면 좋았을 것들,스탠포드대 미래인생 보고서,8.6,
세계사를 움직이는 다섯 가지 힘,"욕망, 모더니즘, 제국주의, 몬스터, 종교",8.0,
유머가 이긴다,,8.1,
혼창통,당신은 이 셋을 가졌는가?,8.4,
영어 낭독 훈련 실천 다이어리,,9.4,
꿈꾸는 다락방,,8.5,
1Q84 1,4월－6월,8.8,"#방탄소년단추천,#아이돌셀러"
스눕,상대를 꿰뚫어보는 힘,7.6,
덕혜옹주,조선의 마지막 황녀,8.6,#문학으로보는역사
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
삼성을 생각한다,,8.9,
4개의 통장,평범한 사람이 목돈을 만드는 가장 빠른 시스템,8.2,
영어 낭독 훈련에 답이 있다,,9.1,
"그건, 사랑이었네",,9.1,
연을 쫓는 아이,,9.5,
해커스 토익 실전 1000제 Listening 1 문제집,,7.9,
죽을 때 후회하는 스물다섯 가지,1000명의 죽음을 지켜본 호스피스 전문의가 말하는,8.0,
아름다운 마무리,법정 스님 산문집,9.1,
운명이다,노무현 자서전,9.3,#알쓸신잡
브레이킹 던,,8.8,#영화드라마원작
아웃라이어,성공의 기회를 발견한 사람들,8.6,#톱클래스의비밀
하나님의 대사 1,성령을 따라 담대하게 사는 삶,9.5,
스티브 잡스 이야기,미래의 아이콘을 꿈꾸는 세계 청소년의 롤모델,8.9,
The Secret 시크릿,수 세기 동안 단 1%만이 알았던 부와 성공의 비밀,7.3,#생활습관
여행의 기술,알랭 드 보통의 여행 에세이,8.0,
위대한 기업은 다 어디로 갔을까,"왜 어떤 기업은 위대한 기업으로 건재한 반면, 다른 기업은 시장에서 사라지거나 몰락하는가",7.7,
슈퍼 괴짜 경제학,세상의 이면을 파헤치는 괴짜 천재의 실전경제학,8.9,
남아공에서 보물찾기,,9.4,
잠자기 전 30분,내일이 바뀌는 새로운 습관,7.7,
Let's go camping! 렛츠고 캠핑,대한민국 캠핑장 가이드 317,7.0,#캠핑족
멈추지마 다시 꿈부터 써봐,73개의 꿈을 쓰고 세계에 도전하다,8.7,
무슨 일이 일어났는지는 아무도,,8.5,"#알쓸신잡,#해외에서인기있는한국소설"
스위치,손쉽게 극적인 변화를 이끌어내는 행동설계의 힘,8.8,
물리와 함께하는 50일,원자에서 우주까지 꼭 알아야 할 과학 이야기,8.6,
책만 보는 바보,이덕무와 그의 벗들 이야기,9.1,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
코믹 메이플스토리 오프라인 RPG 40,,10.0,
짧은 귀 토끼,짧은 귀 토끼+짧은 귀 토끼와 빵점 시험지+짧은 귀 토끼와 눈치 없는 친구,9.6,#무료배송쿠폰도서
구름빵,"구름빵, Cloud Bread",9.6,"#상상력,#TV방영,#무료배송쿠폰도서"
그 후에,,8.9,
삐뽀삐뽀 119 소아과,,9.0,
트와일라잇 시리즈 세트 + 브리태너,,9.0,
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
감정을 다스리는 사람 감정에 휘둘리는 사람,,8.7,
스웨이 Sway,사람의 마음을 흔드는 선택의 비밀,8.9,
김대중 자서전 세트,,8.7,#알쓸신잡
해커스 토익 실전 1000제 Reading 1 문제집,,8.5,
빅 픽처,,8.6,#책끝을접다
왜 세계의 절반은 굶주리는가?,유엔 식량특별조사관이 아들에게 들려주는 기아의 진실,8.8,
규장각 각신들의 나날 1,,8.6,
규장각 각신들의 나날 2,,8.6,
박철범의 하루 공부법,,8.7,
해커스 토익 보카 Vocabulary,토익 기출어휘 30일 정복,8.6,
구글노믹스,미래 경제는 구글 방식이 지배한다,8.6,
파라다이스 2,,8.4,
엄마를 부탁해,,9.1,"#가족관계,#밀리언셀러,#읽다보면눈물바다"
조선 왕을 말하다,이덕일 역사평설,8.9,#조선
소리치지 않고 화내지 않고 초등학생 공부시키기,아이들 입에서 '공부하고 싶다'는 말이 터지게 하는 28가지 학습지도 솔루션,9.0,
해커스 토익 Listening 리스닝,개정판,8.5,
아이의 사생활,내 아이의 운명을 결정짓는 혁명적인 책,9.5,
행복의 조건,하버드대학교·인간성장보고서,9.0,
통쾌수능,엄마가 만드는 3등급 내 아이 일류대 보내기,9.2,
오리진이 되라,운명을 바꾸는 창조의 기술,8.4,
파라다이스 1,,8.3,
김미경의 아트 스피치,대한민국 말하기 교과서,9.0,
성균관 유생들의 나날 2,,8.8,#영화드라마원작
성균관 유생들의 나날 1,,8.6,"#영화드라마원작,#문학으로보는역사"
바보처럼 공부하고 천재처럼 꿈꿔라,반기문 유엔 사무총장이 세계의 청소년에게 전하는 꿈과 희망의 메시지,8.4,
지성에서 영성으로,,9.2,
아불류 시불류 我不流 時不流,이외수의 비상법,9.2,
강남몽,,8.5,#알쓸신잡
어디선가 나를 찾는 전화벨이 울리고,,8.7,
정의란 무엇인가,,8.8,
