title,title2,rating,tags
[예스리커버] 명견만리_새로운 사회 편,"정치, 생애, 직업, 탐구 편",9.0,"#TV방영,#우울증,#고령화,#미래전망,#분노조절장애,#문재인대통령이읽은책"
잠 1,,9.0,#책끝을접다
인간과 문화의 무지개다리,,8.4,
보노보노처럼 살다니 다행이야,,9.1,"#삶이고단할때,#책읽아웃,#일상을위로하다,#귀염뽀짝캐릭터"
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
잠 2,,8.3,
도구와 기계의 원리 NOW,,9.3,"#알쓸신잡,#책읽아웃"
청춘의 독서,세상을 바꾼 위험하고 위대한 생각들,9.0,"#알쓸신잡,#청춘"
나의 문화유산답사기 10 : 서울편 2,유주학선 무주학불,9.4,"#답사기,#문화탐험"
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,9.2,"#누구나영어할수있다,#원어민같이말하자"
말의 품격,말과 사람과 품격에 대한 생각들,8.9,"#국립중앙도서관사서추천,#관계,#인간내면탐구,#언어의힘"
모든 관계는 말투에서 시작된다,기분 좋은 사람으로 기억되는 사소한 습관,8.0,"#대화의기술,#인간관계,#직장생활,#책읽아웃,#말잘하는법,#말투의심리학"
자존감 수업,"하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련",8.9,"#나답게살자,#마음공부,#관계,#나를사랑하는나에게,#심리학처방전"
나의 문화유산답사기 9 : 서울편 1,만천명월 주인옹은 말한다,9.4,"#답사기,#문화탐험"
오직 두 사람,,8.7,"#알쓸신잡,#책끝을접다,#국립중앙도서관사서추천"
코스모스,특별판,9.2,"#교양쌓기,#알쓸신잡,#명강의,#우주,#멜로디책방"
열혈강호 73,,9.6,#오늘의우리만화
국가란 무엇인가,,9.0,"#알쓸신잡,#사회비판,#국가"
아이를 크게 키우는 놀이 육아,2~7세 결정적 시기에 시작하는 아이주도 놀이 80,9.6,"#예술놀이,#아이랑뭐하고놀지?"
클라우스 슈밥의 제4차 산업혁명,클라우스 슈밥의 제4차 산업혁명 + 클라우스 슈밥의 제4차 산업혁명 THE NEXT,8.2,
서툰 감정,,8.8,#마음공부
내일은 실험왕 40,원소의 대결,9.8,
해커스 신 토익 Reading,"신토익 완벽 반영, 토익 RC 문법 독해 어휘에서 실전까지!",8.9,
한 권으로 보는 월리를 찾아라! Travel Collection,,9.1,
"로봇 소년, 학교에 가다",,9.2,
ETS TOEIC Test 공식문제집 LC,,9.1,#분철
지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",9.0,"#인문학입문,#교양쌓기"
ETS TOEIC Test 공식문제집 RC,,8.8,#분철
놓지 마 과학! 5,정신이 태양계에 정신 놓다,9.7,#무료배송쿠폰도서
영어책 한 권 외워봤니?,딱 한 권만 넘으면 영어 울렁증이 사라진다,8.9,"#책읽아웃,#어른공부법,#영어마스터,#누구나영어할수있다"
예감은 틀리지 않는다,,8.5,"#영화드라마원작,#빨간책방,#맨부커상"
영어는 3단어로,내일 당장 대화가 되는 초간단 영어법,8.7,
최고의 휴식,왜 아무리 쉬어도 피곤이 풀리지 않는 걸까,9.1,"#관계,#숨만쉬어도피곤해"
레버리지,자본주의 속에 숨겨진 부의 비밀,8.0,"#성공스토리,#부자되는법,#억만장자"
최고들의 일머리 법칙,글로벌 엘리트들에게 혼나면서 배운 성공 일습관,8.9,
운다고 달라지는 일은 아무것도 없겠지만,,8.8,"#책읽아웃,#아이돌셀러,#일상을위로하다,#드라마에소개된책,#선물하기좋은책,#책을듣다"
원피스 매거진 1호,,9.3,
유시민의 글쓰기 특강,,8.9,"#좋은글의비밀,#알쓸신잡,#작가의글쓰기"
못 참는 아이 욱하는 부모,오은영 박사의 감정 조절 육아법,9.4,"#자녀교육,#부모교육,#화내지않고아이키우기,#가족관계에힘이되는심리학"
설민석의 한국사 대모험 2,,9.5,"#역사교육,#학습만화,#어린이역사책,#무료배송쿠폰도서"
나는 가상화폐로 3달 만에 3억 벌었다,비트코인 이더리움 채굴기 실전투자 전략서,8.2,
위험한 비너스,,8.4,
예언,,7.9,
설민석의 한국사 대모험 1,특명! 온달을 역사 천재로 만들어라!,9.6,"#학습만화,#역사교육,#어린이역사책,#무료배송쿠폰도서"
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,9.4,"#알쓸신잡,#조선,#세종대왕"
정재승의 과학콘서트,복잡한 세상 명쾌한 과학,8.7,"#알쓸신잡,#교양쌓기,#쉽게배우는과학"
센스메이킹,이것은 빅데이터가 알려주지 않는 전략이다,8.4,
4차 산업혁명 이미 와 있는 미래,,8.2,
돈이 없을수록 서울의 아파트를 사라,,9.1,
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
해커스 토익 기출 보카,,9.2,
해커스 토익 실전 1000제. 1 리스닝 Listening(LC) 문제집(신토익 Edition),,8.7,
설민석의 한국사 대모험 3,"온달, 왕의 시험에 대비하라!",9.6,"#역사교육,#학습만화,#어린이역사책,#무료배송쿠폰도서"
스페셜솔져 코믹스 5,,8.6,
꿀벌과 천둥,,9.2,"#책끝을접다,#나오키상수상작"
해커스 토익 실전 1000제. 1 리딩 Reading (RC) 문제집(신토익 Edition),,8.9,
비밀의 숲 2,이수연 대본집,9.3,#대본집
비밀의 숲 1,이수연 대본집,9.4,#대본집
설민석의 한국사 대모험 4,"선사시대편 - 본격 부마 결정전, 온달 대 공갈?",9.6,"#역사교육,#학습만화,#어린이역사책,#무료배송쿠폰도서"
바깥은 여름,,9.1,"#책끝을접다,#빨간책방,#긴여운,#예쁜표지,#동인문학상수상작"
Waiting Q,뉴이스트W  화보집,10.0,
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",9.0,"#교양쌓기,#인문학입문"
2018 선재국어 세트,,9.3,
2018 전한길 한국사 합격생 필기노트+빵꾸노트,,9.2,
나는 나로 살기로 했다,냉담한 현실에서 어른살이를 위한 to do list,9.0,"#삶이고단할때,#일상을위로하다,#마음공부,#청춘,#심리학처방전,#명절홧병타파,#나답게살자,#잠시쉼표"
라틴어 수업,지적이고 아름다운 삶을 위한,9.1,"#책읽아웃,#청춘,#명강의,#고전읽기"
사피엔스,"유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9.2,"#교양쌓기,#빌게이츠추천,#저커버그추천,#오바마추천,#빨간책방,#인류3부작,#요즘책방:책읽어드립니다"
매일 심리학 공부,일과 인간관계를 내 편으로 만드는 85가지 심리 기술,9.0,"#관계,#내편만들기"
아무것도 아닌 지금은 없다,,9.2,"#감성,#SNS에세이,#2019해피인사이드해피북스"
어떻게 살 것인가,,8.8,"#알쓸신잡,#삶이고민될때"
호모 데우스,미래의 역사,9.2,"#교양쌓기,#인류3부작,#미래예측"
좀비고등학교 코믹스 2,,7.6,
살인자의 기억법,,8.3,"#알쓸신잡,#영화드라마원작,#책끝을접다,#김영하의책읽는시간,#해외에서인기있는한국소설"
[예스리커버] 명견만리_미래의 기회 편,"윤리,기술,중국,교육편",9.3,"#TV방영,#문재인대통령이읽은책"
[예스리커버] 명견만리_인류의 미래 편,"향후 인류에게 가장 중요한 것들을 말하다 (인구,경제,북한,의료 편)",9.3,"#TV방영,#고령사회,#고령화,#치매,#청년실업,#문재인대통령이읽은책"
주진우의 이명박 추격기,저수지를 찾아라,9.2,
언어의 온도,말과 글에는 나름의 따뜻함과 차가움이 있다,8.2,"#남자친구,#일상을위로하다,#밀리언셀러,#같이펀딩에나온책"
기사단장 죽이기 2,,8.3,
기사단장 죽이기 1,,8.5,
82년생 김지영,,8.8,"#책끝을접다,#국립중앙도서관사서추천,#아이돌셀러,#여성문학,#성차별,#해외에서인기있는한국소설,#역주행베스트셀러,#페미니즘,#명절홧병타파,#영화드라마원작"
