title,title2,rating,tags
인생수업,잘 물든 단풍은 봄꽃보다 아름답다,8.9,"#스님의한마디,#꽃길만걷자,#마음공부,#행복한노년"
제3인류 1,,9.0,
마시멜로 세 번째 이야기,,8.6,
관계의 힘,상처받지 않고 행복해지는,8.9,
아크라 문서,,8.7,
정글만리 3,,8.5,
정글만리 2,,8.3,
정글만리 1,,8.7,#중국경제
3배속 살림법,수납의 여왕 털팽이식,9.5,
1cm+,인생에 필요한 1cm를 찾아가는 크리에이티브한 여정,8.9,"#SNS에세이,#방탄소년단추천,#아이돌셀러"
이중섭 편지와 그림들 1916~1956,편지와 그림에서 묻어나는 이중섭의 삶과 사랑,8.8,
우리 아빠가 최고야,,9.3,"#감동,#아이사랑,#아빠도함께봐요"
색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해,,8.2,#빨간책방
산사로 가는 즐거움,,8.8,
수학도둑 36,,9.8,
창문 넘어 도망친 100세 노인,,8.8,"#영화드라마원작,#북유럽할아버지할머니"
살인자의 기억법,,8.3,"#알쓸신잡,#영화드라마원작,#책끝을접다,#김영하의책읽는시간,#해외에서인기있는한국소설"
영어가 길어지는 단 한가지 기술,,9.4,
첫 번째 질문,결과를 만드는 사람들의 공통적 습관 WHY,9.4,
내 아이를 위한 감정코칭,존 가트맨·최성애 박사의,9.2,"#자녀교육,#초등학교가기전에,#감수성교육"
"엄마, 결국은 해피엔딩이야!",,8.8,
"미움, 우정, 구애, 사랑, 결혼",2013 노벨문학상 수상,8.3,
지금 공부하는 네가 모두를 놀라게 할 것이다,세계무대로 날고 싶은 10대를 위한 행복한 공부,8.5,
해커스 토익 보카 Vocabulary,,9.2,
지선아 사랑해,"다시, 새롭게",9.0,#장애
바람이 분다 당신이 좋다,이병률 여행산문집,8.7,
딸에게 보내는 심리학 편지,30년 동안 미처 하지 못했던 그러나 꼭 해 주고 싶은 이야기들,9.1,
해커스 토익 Reading,최신경향 반영 전면개정판,9.2,
문제아들이 이세계에서 온다는 모양인데요? 7,,8.0,
한국의 장사꾼들,"출신과 스펙은 필요없다, 바닥에서 富를 이룬 그들만의 성공비법",8.8,
진짜 기본 요리책,,9.6,"#반찬고민,#요리초보,#식사를합시다"
감정은 습관이다,부정의 나를 긍정의 나로 바꾸는 힘,8.9,
이 인간이 정말,,8.5,
2030 대담한 미래,,8.6,
책은 도끼다,,9.1,"#책덕후,#친절한인문학,#책읽는법을읽다"
자기 통제의 승부사 사마의,자신을 이기는 자가 최후의 승자가 된다,9.0,
홍도,제3회 혼불문학상 수상작,8.7,
스님의 주례사,행복한 결혼생활을 위한 남녀 마음 이야기,8.8,#알쓸신잡
