title,title2,rating,tags
비밀의 정원 Secret Garden,출간 5주년 기념 특별 리커버 에디션,9.1,"#무아지경시간순삭,#색연필만있으면돼,#집순이취미"
인생에 가장 중요한 7인을 만나라,내 삶에 힘이 되는 사람을 찾는 지혜,8.7,#관계
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",9.0,"#교양쌓기,#인문학입문"
내 옆에 있는 사람,이병률 여행산문집,8.5,
백종원이 추천하는 집밥 메뉴 52,,8.7,"#반찬고민,#집밥의변신,#무료배송쿠폰도서"
"조훈현, 고수의 생각법",생각은 반드시 답을 찾는다,8.9,
2016 전한길 한국사 합격생 필기노트,,9.5,
오베라는 남자,,9.1,"#영화드라마원작,#북유럽할아버지할머니"
파수꾼,,8.7,
마법천자문 32,진실을 가려라! 참 진,8.3,
엄마의 말공부,기적 같은 변화를 불러오는 작은 말의 힘,9.1,"#자녀교육,#말의힘"
지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",9.0,"#인문학입문,#교양쌓기"
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
나오미와 가나코,,9.1,#책끝을접다
앵무새 죽이기,,9.3,"#영화드라마원작,#빨간책방,#20세기고전,#인종차별"
큰별샘 최태성의 한국사 1500제 전근대편,,9.1,
해커스 토익 실전 1000제 리스닝 1 문제집,,9.2,
영단기 토익 RC,,8.0,
해커스 토익 실전 1000제 리스닝 2 문제집 (문제와 정답.스크립트) (해설집 별매),,9.0,
조조만 아는 토익 문법 공식,신경향 완벽대비 전면 혁신개정판,,
반찬이 필요 없는 밥 요리,,9.5,"#반찬고민,#무료배송쿠폰도서"
EBS 한국사능력검정시험 중급,,7.8,
도미노 공부법,한 문제를 이해하면 백 문제가 ‘와르르’ 풀리는 가장 단순한 공부 원리,8.8,
우지은의 스피치 시크릿 21,낭독으로 연습하는 말하기책,9.4,
대한민국 부동산 투자를 지배하는 100가지 법칙,"부동산 살 때와 팔 때, 시장에서 바로 먹히는 ‘부동산 투자의 기술!’",9.1,
서울대 합격생 기적의 어휘 공부법,,8.9,
ETS TOEIC Test RC 공식실전서 1000,,8.9,
원피스 ONE PIECE 78,,9.5,
ETS TOEIC Test LC 공식실전서 1000,,8.6,
시를 잊은 그대에게,공대생의 가슴을 울린 시 강의,8.9,"#책끝을접다,#감성,#섬세한시선"
해커스 토익 스타트 리딩 (Hackers TOEIC Start Reading),기초 문법 어휘 독해 4주 완성,8.9,
신부 이야기 7,,9.2,
