title,title2,rating,tags
해를 품은 달 1,,8.7,"#영화드라마원작,#문학으로보는역사"
달려라 정봉주,나는 꼼수다 2라운드 쌩토크 : 더 가벼운 정치로 공중부양,8.9,
천사의 부름,,8.6,
잊혀진 질문,내 가슴을 다시 뛰게 할,8.8,
해커스 토익 Reading 리딩,2008년판,9.6,
리딩으로 리드하라,세상을 지배하는 0.1퍼센트의 인문고전 독서법,8.3,
웃음 1,,8.1,
독서 천재가 된 홍대리,운명을 바꾸는 책 읽기 프로젝트,8.7,
웃음 2,베르나르 베르베르 장편소설,8.1,
마법천자문 20,내 모든 걸 너에게! 남길 유,9.6,
스티브 잡스,,8.8,
시골의사 박경철의 자기혁명,,8.6,
닥치고 정치,김어준의 명랑시민 정치교본,9.0,
아프니까 청춘이다,인생 앞에 홀로 선 젊은 그대에게,8.5,
오늘 내가 살아갈 이유,,9.1,
십자군 이야기 1,,8.4,
절대강자,이외수의 인생 정면 대결법,9.2,
난설헌,최문희 장편소설,8.9,"#알쓸신잡,#문학으로보는역사"
옥수수와 나,2012 제36회 이상문학상 작품집,8.5,#알쓸신잡
코믹 메이플스토리 오프라인 RPG 49,,,
중생이 아프면 부처도 아프다,명진스님의 사회성찰 이야기,8.6,
토마토 BASIC READING,,9.6,
"하루 10분, 내 아이를 생각하다",소아청소년정신과 전문의 서천석의 '트윗 육아',9.4,#자녀교육
고구려 2,다가오는 전쟁,8.9,
책은 도끼다,,9.1,"#책덕후,#친절한인문학,#책읽는법을읽다"
내일은 실험왕 19,지형의 대결,9.9,
왓칭 Watching,신이 부리는 요술,8.5,"#인생지침서,#삶을바꿀이야기,#긍정심리,#나도몰랐던나를찾아"
고구려 3,낙랑축출,9.3,
이탈리아에서 보물찾기 2,,10.0,
내 인생 5년 후,정상에 선 사람들이 밝히는 ‘5년 전략’의 비밀,8.6,
하나님의 대사 3,사랑의 중보자,9.2,
내 아이를 위한 감정코칭,존 가트맨·최성애 박사의,9.2,"#자녀교육,#초등학교가기전에,#감수성교육"
ETS TOEIC Listening Prep Book,,9.3,
국어 교과서 작품 읽기 중1 세트,,9.8,
신약 어떤 마술의 금서목록 2,,8.8,
엄마를 부탁해,,9.1,"#가족관계,#밀리언셀러,#읽다보면눈물바다"
문재인의 운명,,8.7,
원피스 ONE PIECE 64,,9.4,
흑산 黑山,김훈 장편소설,8.5,#문학으로보는역사
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
백설공주에게 죽음을,,8.6,
해커스 토익 실전 1000제 Listening 1 문제집,,7.9,
십자군 이야기 2,,8.3,
논어,,8.0,
무라카미 하루키 잡문집,,8.0,
부자들은 왜 장지갑을 쓸까,돈이 굴러들어오는 지갑 사용 설명서,8.1,
트렌드 코리아 2012,,8.9,
삐뽀삐뽀 119 소아과,,9.0,
마법천자문 19,찍어라! 도장인 印,9.4,
내 여동생이 이렇게 귀여울 리가 없어 9,,9.0,
두근두근 내 인생,원더보이 + 가시고백 + 두근두근 내 인생,8.8,"#영화드라마원작,#책끝을접다"
"중용, 인간의 맛",,8.1,
나는 꼼수다 에피소드 1,세계 유일 가카 헌정 시사 소설집,9.0,
해커스 토익 실전 1000제 Reading 1 문제집,,8.5,
임신 출산 육아 대백과,술술 잘 읽히는 첫아기 잘 키우는 법,9.4,"#부모교육,#자녀교육,#아이를키운다면한번쯤,#육아백과사전"
고구려 1,도망자 을불,9.0,
뿌리 깊은 나무 1,한글 속에 숨겨둔 대왕세종의 비밀 코드,8.5,"#문학으로보는역사,#조선"
7년의 밤,,8.9,"#영화드라마원작,#책끝을접다,#빨간책방,#해외에서인기있는한국소설,#새벽에읽기좋은책"
뿌리 깊은 나무 2,한글 속에 숨겨둔 대왕세종의 비밀 코드,8.8,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
ETS TOEIC Reading Prep Book,,9.3,
책과 집,"갖고 싶은 나만의 공간, 책으로 꾸미는 집",8.8,
빵만으로는 살 수 없다,시와 소설처럼 누구나 쉽게 읽는 성경,9.3,
"마흔, 논어를 읽어야 할 시간",인생의 굽이길에서 공자를 만나다,8.4,
꿈꾸는 다락방,,8.5,
정의란 무엇인가,,8.8,
운명을 바꾸는 10년 통장,10년 벌어 50년 산다!,8.4,
셜록 홈즈 실크 하우스의 비밀,,8.6,
해커스 토익 보카 Vocabulary,,9.2,
여자를 증오한 남자들 2,,9.2,
해커스 토익 Listening 리스닝,개정판,8.5,
모르는 여인들,,8.8,
빅 픽처,,8.6,#책끝을접다
엄마 수업,법륜 스님이 들려주는 우리 아이 지혜롭게 키우는 법,8.7,#부모교육
고구려 4,사유와 무,9.1,#문학으로보는역사
여자를 증오한 남자들 1,,9.1,
어쨌거나 남자는 필요하다,남자와 함께하기로 결정한 당신에게,8.5,
"멈추면, 비로소 보이는 것들",혜민 스님과 함께하는 내 마음 다시보기,9.1,
어떻게 원하는 것을 얻는가 밀리언 특별판,20년 연속 와튼스쿨 최고 인기 강의,8.5,"#톱클래스의비밀,#인간관계,#스페셜에디션,#협상테이블에서"
해를 품은 달 2,,8.8,
