title,title2,rating,tags
정글만리 1,,8.7,#중국경제
원하는 것이 있다면 감정을 흔들어라,하버드대학교 설득·협상 강의,8.9,
나의 문화유산답사기 일본편 2 아스카·나라,아스카 들판에 백제꽃이 피었습니다,9.2,
관찰의 힘,평범한 일상 속에서 미래를 보다,7.1,
그냥 덮어둘 일이지,미당 서정주의 아우 우하 서정태 90세 시인이 들려주는 노래 90편,9.0,
창문 넘어 도망친 100세 노인,,8.8,"#영화드라마원작,#북유럽할아버지할머니"
적을 만들지 않는 대화법,사람을 얻는 마법의 대화 기술 56,8.5,#말잘하는법
ETS TOEIC Test RC 공식실전서 1000,,9.2,
가르치고 싶은 엄마 놀고 싶은 아이,SBS <우리아이가 달라졌어요> 오은영 박사가 말하는 공부력 향상 육아법!,9.6,
ETS TOEIC Test LC 공식실전서 1000,,8.8,
나의 문화유산답사기 일본편 1 규슈,빛은 한반도로부터,9.1,
공부하는 힘,몰입 전문가 황농문 교수가 전하는 궁극의 학습법,8.7,
살인자의 기억법,,8.3,"#알쓸신잡,#영화드라마원작,#책끝을접다,#김영하의책읽는시간,#해외에서인기있는한국소설"
예스24 크레마 샤인,전자책의 빛나는 기준,7.5,
더 잡,,8.5,
인페르노 1,,8.7,#영화드라마원작
내 아이를 위한 감정코칭,존 가트맨·최성애 박사의,9.2,"#자녀교육,#초등학교가기전에,#감수성교육"
허허 동의보감 1,죽을래 살래?,8.6,
나는 죽을 때까지 재미있게 살고 싶다,멋지게 나이 들고 싶은 사람들을 위한 인생의 기술 53,8.6,"#나이듦,#심리학처방전,#잠시쉼표"
기분을 말해 봐!,"괜찮아+기차 ㄱㄴㄷ+바람이 좋아요+가족은 꼬옥 안아주는 거야+기분을 말해 봐!+얘들아, 학교 가자",9.6,"#감정,#마음들여다보기,#아이와함께읽기좋은책,#감정그림책,#무료배송쿠폰도서"
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
하루 15분 정리의 힘,"삶을 다시 사랑하게 되는 공간, 시간, 인맥 정리법",8.3,
프레임,나를 바꾸는 심리학의 지혜,8.5,
부자의 書,부를 경영하는 전략적 책읽기,8.5,
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
박시백의 조선왕조실록 세트,,8.8,#빨간책방
프랑스 아이처럼,"아이, 엄마, 가족이 모두 행복한 프랑스식 육아",8.6,"#자녀교육,#부모와아이가행복한육아,#프랑스육아법"
Reason 리즌,현대카드에는 분명한 이유가 있다,8.9,
강신주의 다상담 1,"사랑, 몸, 고독",8.6,
