title,title2,rating,tags
문재인의 운명,,9.3,
나는 뻔뻔하게 살기로 했다,,8.8,
부자언니 부자연습,가난한 공주 부자되기 프로젝트,8.7,
레버리지,자본주의 속에 숨겨진 부의 비밀,8.0,"#성공스토리,#부자되는법,#억만장자"
삼국지 조조전 1,"농단의 시대, 흔들리는 낙양성",9.0,
타이탄의 도구들,1만 시간의 법칙을 깬 거인들의 61가지 전략,9.0,"#톱클래스의비밀,#성공하고싶다면,#오늘부터시작,#인생지침서"
클라우스 슈밥의 제4차 산업혁명,클라우스 슈밥의 제4차 산업혁명 + 클라우스 슈밥의 제4차 산업혁명 THE NEXT,8.2,
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,9.2,"#누구나영어할수있다,#원어민같이말하자"
말의 품격,말과 사람과 품격에 대한 생각들,8.9,"#국립중앙도서관사서추천,#관계,#인간내면탐구,#언어의힘"
미움받아도 괜찮아,어린이를 위한 용기의 심리학,9.3,
1시간에 1권 퀀텀 독서법,하루 30분 3주면 된다!,8.4,
설민석의 한국사 대모험 3,"온달, 왕의 시험에 대비하라!",9.6,"#역사교육,#학습만화,#어린이역사책,#무료배송쿠폰도서"
2017 선재국어 나침판 실전모의고사 Vol.2,,9.4,
후 who? special 문재인,,9.5,#무료배송쿠폰도서
아홉 살 마음 사전,,9.3,"#책읽아웃,#감정,#초등어휘,#초등교과서수록도서,#무료배송쿠폰도서"
왜냐면…,"『수박 수영장』, 『할머니의 여름휴가』, 『왜냐면…』, 『우리는 언제나 다시 만나』, 『메리』 세트",9.6,"#상상력,#계절그림책,#호기심"
피터 드러커의 최고의 질문,세계 최고 리더들의 인생을 바꾼,8.7,"#리더들이읽는책,#리더가되고싶어,#인생지침서"
해커스 신 토익 Listening,"신토익 완벽 반영, 토익 LC 기본에서 실전까지!",8.1,
백종원이 추천하는 집밥 메뉴 55,,8.9,"#반찬고민,#집밥의변신,#무료배송쿠폰도서"
목소리의 형태 1,,9.1,
