title,title2,rating,tags
1Q84 1,4월－6월,8.8,"#방탄소년단추천,#아이돌셀러"
트와일라잇,,8.6,"#영화드라마원작,#기묘한괴담"
뉴문,,8.7,#영화드라마원작
이클립스,,8.4,
로스트 심벌 1,,8.2,
브레이킹 던,,8.8,#영화드라마원작
아이의 사생활,내 아이의 운명을 결정짓는 혁명적인 책,9.5,
양육쇼크,아이들에 대한 새로운 생각,9.1,
1Q84 2,7월－9월,8.7,"#방탄소년단추천,#아이돌셀러"
셀러브리티,,8.5,
로스트 심벌 2,,8.1,
해커스 토익 보카 Vocabulary,토익 기출어휘 30일 정복,8.6,
엄마를 부탁해,,9.1,"#가족관계,#밀리언셀러,#읽다보면눈물바다"
"그건, 사랑이었네",,9.1,
슈퍼 괴짜 경제학,세상의 이면을 파헤치는 괴짜 천재의 실전경제학,8.9,
사랑해 모두모두 사랑해,,9.6,
일본전산 이야기,"불황기 10배 성장, 손대는 분야마다 세계 1위, 신화가 된 회사",8.5,
정갑영 교수의 만화로 읽는 알콩달콩 경제학,,8.8,
세계 명화 감상,,8.3,
카네기 인간관계론,,9.1,"#관계,#인간관계,#인생지침서,#나를위한변화"
데이지의 인생,,8.0,
지상 최대의 쇼,,9.0,
노빈손의 올레올레 스페인 탐험기,,10.0,
바보처럼 공부하고 천재처럼 꿈꿔라,반기문 유엔 사무총장이 세계의 청소년에게 전하는 꿈과 희망의 메시지,8.4,
만들어진 신,신은 과연 인간을 창조했는가?,8.1,#교양쌓기
박철범의 하루 공부법,,8.7,
마음을 얻는 기술,상대의 마음을 단숨에 사로잡는 끌림의 순간 74,8.3,
꿈꾸는 다락방,,8.5,
인생사용설명서,단 한 번뿐인 삶을 위한 일곱 가지 물음,8.5,
죽을 때 후회하는 스물다섯 가지,1000명의 죽음을 지켜본 호스피스 전문의가 말하는,8.0,
괜찮아,"괜찮아+기차 ㄱㄴㄷ+바람이 좋아요+가족은 꼬옥 안아주는 거야+기분을 말해 봐!+얘들아, 학교 가자",9.4,"#감정,#자존감,#다양성,#무료배송쿠폰도서"
도가니,,9.1,
노벨상 수상자가 들려주는 미생물 이야기,,9.6,
오 해피데이,,8.8,
눈물바다,눈물바다 + 커졌다! + 간질간질,9.3,"#감정,#일상을위로하다"
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
천 개의 찬란한 태양,,9.3,#페미니즘
멀리 가려면 함께 가라,세상을 내 편으로 만든 사람들의 비밀,7.6,
성공과 좌절,노무현 대통령 못다 쓴 회고록,9.0,
내 영혼이 따뜻했던 날들,,8.9,
나는 아내와의 결혼을 후회한다,영원히 철들지 않는 남자들의 문화심리학,8.3,
경제학 3.0,김광수 소장이 풀어쓰는 경제의 핵심,8.0,
설득의 비밀,EBS 다큐프라임,8.9,
죽은 왕녀를 위한 파반느,,9.0,
우아한 거짓말,,8.8,"#사회적약자,#영화드라마원작"
연을 쫓는 아이,,9.5,
우리 아빠가 최고야,,9.3,"#감동,#아이사랑,#아빠도함께봐요"
백야행 3,,8.6,
나쁜 사마리아인들,장하준의 경제학 파노라마,9.1,
백야행 2,,8.7,
백야행 1,,8.3,
살아온 기적 살아갈 기적,장영희 에세이,9.4,
The Secret 시크릿,수 세기 동안 단 1%만이 알았던 부와 성공의 비밀,7.3,#생활습관
왜 세계의 절반은 굶주리는가?,유엔 식량특별조사관이 아들에게 들려주는 기아의 진실,8.8,
코믹 메이플스토리 오프라인 RPG 37,,9.5,
구름빵,"구름빵, Cloud Bread",9.6,"#상상력,#TV방영,#무료배송쿠폰도서"
시크릿 실천법,,8.7,
서른살이 심리학에게 묻다,대한민국 30대를 위한 심리치유 카페,8.5,
사부님 싸부님 1,,8.5,
삐뽀삐뽀 119 소아과,,9.0,
4개의 통장,평범한 사람이 목돈을 만드는 가장 빠른 시스템,8.2,
시원스쿨 기초 영단어,대한민국 왕초보 누구나 기적처럼 말문이 터지는,9.7,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
SERI 전망 2010,,8.0,
해커스 토익 Listening 리스닝,개정판,8.5,
"한 사람은 모두를, 모두는 한 사람을",一卽一切多卽一,9.5,
좋은 이별,김형경 애도 심리 에세이,8.7,
내일은 실험왕 12,공기의 대결,10.0,
당신 없는 나는?,,8.7,
공무도하,,8.4,
아웃라이어,성공의 기회를 발견한 사람들,8.6,#톱클래스의비밀
넛지,똑똑한 선택을 이끄는 힘,8.2,
해커스 토익 Reading 리딩,2008년판,9.6,
파페포포 레인보우,,9.1,
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
진보의 미래,다음 세대를 위한 민주주의 교과서,8.5,
너는 모른다,,8.8,
위험한 심리학,천가지 표정 뒤에 숨은 만가지 본심 읽기,7.7,
청춘의 독서,세상을 바꾼 위험하고 위대한 생각들,8.9,
2010 업계지도,시장이 한눈에 보이는 투자지도의 원전,9.1,
