title,title2,rating,tags
겨울왕국 Frozen,,9.2,
디즈니 겨울왕국 색칠 스티커북,,10.0,
정글만리 2,,8.3,
정글만리 3,,8.5,
강신주의 감정수업,스피노자와 함께 배우는 인간의 48가지 얼굴,8.7,
디즈니 겨울왕국 스티커북 500,,7.3,
에드워드 툴레인의 신기한 여행,구운몽 + 에드워드 툴레인의 신기한 여행,9.0,#영화드라마원작
내가 사랑한 유럽 TOP10,"꿈만 꾸어도 좋다, 당장 떠나도 좋다",8.6,
엄마는 아들을 너무 모른다,두려움과 불안을 자신감과 행복으로 바꿔주는 아들 교육법,8.9,"#아들키우기,#부모와아이가행복한육아"
정글만리 1,,8.7,#중국경제
인생수업,잘 물든 단풍은 봄꽃보다 아름답다,8.9,"#스님의한마디,#꽃길만걷자,#마음공부,#행복한노년"
겨울 왕국,안나 공주의 유쾌 발랄 모험 이야기,9.7,
다윗과 골리앗,강자를 이기는 약자의 기술,8.4,
"멈추면, 비로소 보이는 것들",혜민 스님과 함께하는 내 마음 다시보기,9.1,
겨울왕국 무비 스토리북,,9.5,
잡담이 능력이다,,7.8,
내 아이를 위한 감정코칭,존 가트맨·최성애 박사의,9.2,"#자녀교육,#초등학교가기전에,#감수성교육"
해커스 토익 실전 1000제 리스닝 1 문제집,,9.2,
바람이 분다 당신이 좋다,이병률 여행산문집,8.7,
강신주의 다상담 3,"소비, 가면, 늙음, 꿈, 종교와 죽음",9.1,
신 황태자비 납치사건,,9.1,
유엔미래보고서 2040,도전하는 미래가 살아남는다,9.4,
일빵빵 스토리가 있는 영어회화 1,일빵빵 스토리가 있는 영어회화 1 + 영어회화의 결정적 패턴들 + 영어패턴 500 플러스,9.0,"#누구나영어할수있다,#패턴으로말하기,#분철"
"선대인, 미친 부동산을 말하다",아직 알려지지 않은 것들 더 이상 피할 수 없는 것들,8.6,
여덟 단어,인생을 대하는 우리의 자세,9.1,"#책에관한책,#일상의아름다움"
사람은 무엇으로 성장하는가,30년간 500만 리더들의 삶을 바꾼 기적의 성장 프로젝트,8.8,
ETS 토익 정기시험 기출문제집 LC+RC 1200,,9.4,
2030 대담한 미래,,8.6,
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
프랑스 아이처럼,"아이, 엄마, 가족이 모두 행복한 프랑스식 육아",8.6,"#자녀교육,#부모와아이가행복한육아,#프랑스육아법"
창문 넘어 도망친 100세 노인,,8.8,"#영화드라마원작,#북유럽할아버지할머니"
문제아들이 이세계에서 온다는 모양인데요? 8,,10.0,
"상상, 현실이 되다","미래는 예측하는 것이 아니라, 상상하는 것이다",8.7,
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
해커스 토익 Listening,최신경향 반영 전면개정판,8.3,
수학도둑 38,,8.4,
당신의 이런 점이 좋아요,,9.1,
3배속 살림법,수납의 여왕 털팽이식,9.5,
미 비포 유 Me Before You,,8.7,"#영화드라마원작,#방탄소년단추천,#아이돌셀러"
아이의 영어두뇌,국내 유일 영어두뇌 전문가가 밝히는 영어의 해법,9.4,
"초등 1학년 공부, 책읽기가 전부다",,9.4,"#자녀교육,#독서교육"
해커스 토익 실전 1000제 리딩 1 문제집,,9.1,
세계 최고의 인재들은 왜 기본에 집중할까,평생 성장을 멈추지 않는 사람들의 48가지 공통점,8.0,#국립중앙도서관사서추천
다른 모든 눈송이와 아주 비슷하게 생긴 단 하나의 눈송이,은희경 소설,8.8,
한비네 집 맛있는 이야기,귀여운 엘비스가 전하는 아이 먹거리·육아·살림 비법,8.9,
강신주의 다상담 1,"사랑, 몸, 고독",8.6,
모모,,8.8,"#시간여행,#느긋하고유쾌한삶"
해커스 토익 Reading,최신경향 반영 전면개정판,9.2,
삐뽀삐뽀 119 소아과,,9.0,
내일은 실험왕 26,탄생과 성장,9.5,
어떻게 배울 것인가,"존 맥스웰 기적의 성장 프로젝트, 그 두 번째",8.6,
철학이 필요한 시간,강신주의 인문학 카운슬링,8.7,#실용철학서
엄마 수업,법륜 스님이 들려주는 우리 아이 지혜롭게 키우는 법,8.7,#부모교육
임신 출산 육아 대백과,술술 잘 읽히는 첫아기 잘 키우는 법,9.4,"#부모교육,#자녀교육,#아이를키운다면한번쯤,#육아백과사전"
당신이 속고 있는 28가지 재테크의 비밀,현 자산관리사가 폭로하는 금융사의 실체와 진짜 부자 되는 법,8.7,
아지랑이 데이즈 1,,9.0,
애니메이션 잉글리시 겨울왕국,,9.8,
상처받지 않을 권리,욕망에 흔들리는 삶을 위한 인문학적 보고서,8.9,
해커스 토익 보카 Vocabulary,,9.2,
아기가 잘 먹는 이유식은 따로 있다,,9.8,
꾸뻬 씨의 행복 여행,,8.4,"#영화드라마원작,#KBS달빛프린스선정도서"
제3인류 2,,9.3,
제3인류 1,,9.0,
몬순,2014 제38회 이상문학상 작품집,8.6,
ETS TOEIC Test RC 공식실전서 1000,,9.2,
내일,,8.8,#국립중앙도서관사서추천
ETS TOEIC Test LC 공식실전서 1000,,8.8,
역시 내 청춘 러브코메디는 잘못됐다 8 특별판,,10.0,
내가 알고 있는 걸 당신도 알게 된다면,전세계가 주목한 코넬대학교의 ‘인류 유산 프로젝트’,8.9,#잠시쉼표
The Miraculous Journey of Edward Tulane 에드워드 툴레인의 신기한 여행,,9.4,
너는 나에게 상처를 줄 수 없다,,8.9,"#관계,#방탄소년단추천,#아이돌셀러"
스크린 영어회화 겨울왕국,,9.7,
살아 있는 뜨거움,,8.4,
"총, 균, 쇠","총,균,쇠 + 문명의 붕괴 + 어제까지의 세계",9.1,"#교양쌓기,#빨간책방,#다시읽는역사,#세계사,#필독서라는데주변에완독한사람없음,#요즘책방:책읽어드립니다"
이카루스 이야기,,8.5,
마법천자문 27,환하게 비추어라! 비출 조,8.8,
퍼펙트워크 Perfect Work,열심히 일하지 말고 완벽하게 일하라,9.0,
1cm+,인생에 필요한 1cm를 찾아가는 크리에이티브한 여정,8.9,"#SNS에세이,#방탄소년단추천,#아이돌셀러"
어떻게 일하며 성장할 것인가,직장인이 던져야 할 11가지 질문,8.0,
제3인류 3,,9.0,
