title,title2,rating,tags
"멈추면, 비로소 보이는 것들",혜민 스님과 함께하는 내 마음 다시보기,9.1,
해커스 토익 보카 Vocabulary,,9.2,
파이 이야기,,8.7,"#영화드라마원작,#빨간책방,#맨부커상"
특별한 배달,,8.8,
나는 내일을 기다리지 않는다,잠자는 열정을 깨우는 강수진의 인생수업,8.9,
"불혹, 세상에 혹하지 아니하리라",마흔에 다시 읽는 동양고전 에세이,8.2,
마법천자문 24,구석구석 찾아라! 찾을 방訪,8.6,
내가 보고 싶었던 세계,하버드대 종신교수 석지영의 예술ㆍ인생ㆍ법,8.4,
내 인생에 용기가 되어준 한마디,,9.0,#국립중앙도서관사서추천
천 번을 흔들려야 어른이 된다,세상에 첫발을 내디딘 어른아이에게,8.6,
빅 픽처,,8.6,#책끝을접다
나는 죽을 때까지 재미있게 살고 싶다,멋지게 나이 들고 싶은 사람들을 위한 인생의 기술 53,8.6,"#나이듦,#심리학처방전,#잠시쉼표"
"문명의 배꼽, 그리스","인간의 탁월함, 그 근원을 찾아서",8.8,
DEATH 죽음이란 무엇인가,예일대 17년 연속 최고의 명강의,8.0,"#죽음,#명강의"
"안녕, 친구야",,9.0,
어떻게 살 것인가,,8.8,"#알쓸신잡,#삶이고민될때"
인생학교 섹스,섹스에 대해 더 깊이 생각해보는 법,8.2,
광고천재 이제석,세계를 놀래킨 간판쟁이의 필살 아이디어,8.2,
기분을 말해 봐!,"괜찮아+기차 ㄱㄴㄷ+바람이 좋아요+가족은 꼬옥 안아주는 거야+기분을 말해 봐!+얘들아, 학교 가자",9.6,"#감정,#마음들여다보기,#아이와함께읽기좋은책,#감정그림책,#무료배송쿠폰도서"
미생 - 아직 살아있지 못한 자 4,정수,8.9,#원작웹툰
그리스인 조르바,,8.8,"#알쓸신잡,#20세기고전"
삐뽀삐뽀 119 이유식,소아과 전문의 하정훈의,8.7,
장사의 신,,8.4,
해커스 토익 실전 1000제 Listening 1 문제집,,7.9,
진짜 기본 요리책,,9.6,"#반찬고민,#요리초보,#식사를합시다"
루브르 박물관보다 재미있는 세계 100대 명화,,9.4,
길 위에서 하버드까지,,8.3,
프라하의 묘지 2,,8.6,
유대인 이야기,그들은 어떻게 부의 역사를 만들었는가,8.5,
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
김미경의 아트 스피치,대한민국 말하기 교과서,9.0,
적의 칼로 싸워라,남다른 가치를 만드는 차별화경영 24,9.0,
코믹 메이플스토리 오프라인 RPG 56,,,
잠수네 아이들의 소문난 교육로드맵,,9.4,
"총, 균, 쇠","총,균,쇠 + 문명의 붕괴 + 어제까지의 세계",9.1,"#교양쌓기,#빨간책방,#다시읽는역사,#세계사,#필독서라는데주변에완독한사람없음,#요즘책방:책읽어드립니다"
내가 알고 있는 걸 당신도 알게 된다면,전세계가 주목한 코넬대학교의 ‘인류 유산 프로젝트’,8.9,#잠시쉼표
꾸뻬 씨의 인생 여행,파리의 정신과 의사,8.4,
스님의 주례사,행복한 결혼생활을 위한 남녀 마음 이야기,8.8,#알쓸신잡
나는 왜 이 일을 하는가?,꿈꾸고 사랑하고 열렬히 행하고 성공하기 위하여,8.2,
당신은 전략가입니까,"세계 0.1%에게만 허락된 특권, 하버드경영대학원의 전설적 전략 강의",8.8,
논어,,8.0,
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
엄마와 딸,,9.0,#엄마와딸
코믹 메이플스토리 오프라인 RPG 57,,,
지금 시작하는 인문학,,8.9,#실용철학서
해커스 토익 Listening 리스닝,개정판,8.5,
7년 후,,8.1,
꿈꾸는 다락방,,8.5,
안 된다고 하지 말고 아니라고 하지 말고,임윤택 에세이,8.7,
프라하의 묘지 1,,9.0,
엄마 수업,법륜 스님이 들려주는 우리 아이 지혜롭게 키우는 법,8.7,#부모교육
아기가 잘 먹는 이유식은 따로 있다,,9.8,
하루 3시간 엄마 냄새,,9.2,
어떻게 원하는 것을 얻는가 밀리언 특별판,20년 연속 와튼스쿨 최고 인기 강의,8.5,"#톱클래스의비밀,#인간관계,#스페셜에디션,#협상테이블에서"
해커스 토익 실전 1000제 Reading 1 문제집,,8.5,
수학도둑 32,코믹 메이플스토리,9.8,
ETS TOEIC Test LC 공식실전서 1000,,8.8,
ETS TOEIC Test RC 공식실전서 1000,,9.2,
바람이 분다 당신이 좋다,이병률 여행산문집,8.7,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
내 아이를 위한 감정코칭,존 가트맨·최성애 박사의,9.2,"#자녀교육,#초등학교가기전에,#감수성교육"
리딩으로 리드하라,세상을 지배하는 0.1퍼센트의 인문고전 독서법,8.3,
지랄발랄 하은맘의 불량육아,,8.7,
임신 출산 육아 대백과,술술 잘 읽히는 첫아기 잘 키우는 법,9.4,"#부모교육,#자녀교육,#아이를키운다면한번쯤,#육아백과사전"
침묵의 미래,2013 제37회 이상문학상 작품집,8.9,#빨간책방
여울물 소리,,8.9,
해커스 토익 Reading 리딩,2008년판,9.6,
아프니까 청춘이다,인생 앞에 홀로 선 젊은 그대에게,8.5,
그래도 사랑하라,김수환 추기경의 영원한 메시지,9.0,
샬롯의 거미줄,,9.3,"#우정,#초등고전,#KBS달빛프린스선정도서"
글로벌 트렌드 2030,미국 국가정보위원회 (NIC) 미래 예측보고서,6.0,
삐뽀삐뽀 119 소아과,,9.0,
롤리타,,8.8,"#영화드라마원작,#책읽아웃,#20세기고전"
적을 만들지 않는 대화법,사람을 얻는 마법의 대화 기술 56,8.5,#말잘하는법
언니의 독설,,8.3,
"나는 다만, 조금 느릴 뿐이다",어쩌면 누구나 느끼고 경험하고 사랑했을 이야기,8.3,
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
습관의 힘,반복되는 행동이 만드는 극적인 변화,8.9,#생활습관
김미경의 드림 온 Dream on,드림워커로 살아라,8.4,
꾸뻬 씨의 행복 여행,,8.4,"#영화드라마원작,#KBS달빛프린스선정도서"
