title,title2,rating,tags
너의 이름은,,8.9,
도깨비 1,,9.0,
영어책 한 권 외워봤니?,딱 한 권만 넘으면 영어 울렁증이 사라진다,8.9,"#책읽아웃,#어른공부법,#영어마스터,#누구나영어할수있다"
스페셜솔져 코믹스 1,,9.7,
도깨비 포토에세이,,9.1,
대한민국이 묻는다,"완전히 새로운 나라, 문재인이 답하다",9.1,#남북통일
완벽한 공부법,모든 공부의 최고의 지침서,8.9,"#어른공부법,#공부할때곁에둘책,#공부법"
만화 너의 이름은 1,,9.3,#순정만화
설민석의 한국사 대모험 1,특명! 온달을 역사 천재로 만들어라!,9.6,"#학습만화,#역사교육,#어린이역사책,#무료배송쿠폰도서"
자존감 수업,"하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련",8.9,"#나답게살자,#마음공부,#관계,#나를사랑하는나에게,#심리학처방전"
너의 이름은. Another Side : Earthbound,,8.9,
그릿 GRIT,"IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",8.7,"#톱클래스의비밀,#어른공부법"
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,9.4,"#알쓸신잡,#조선,#세종대왕"
어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,김용택의 꼭 한번 필사하고 싶은 시,9.1,"#드라마에소개된책,#선물하기좋은시집"
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
해커스 토익 기출 보카,,9.2,
초판본 하늘과 바람과 별과 詩 : 윤동주 유고시집,1955년 10주기 기념 증보판 오리지널 디자인,9.2,"#유작,#방탄소년단추천,#아이돌셀러,#같이펀딩에나온책,#시시한게좋아"
빨강머리 앤이 하는 말 다이어리 북,아직 너무 늦지 않았을 우리에게,9.0,#일상을위로하다
나의 친애하는 적,,8.1,
완벽하지 않은 것들에 대한 사랑,온전한 나를 위한 혜민 스님의 따뜻한 응원,9.3,#일상을위로하다
일빵빵 입에 달고 사는 기초영어,동사 조동사 편,9.4,"#누구나영어할수있다,#패턴으로말하기,#분철"
만화 로마사 1,1000년 제국 로마의 탄생,8.8,
언어의 정원,,9.4,
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,9.2,"#누구나영어할수있다,#원어민같이말하자"
착! 붙는 일본어 독학 첫걸음,하루 한 시간 한 달 완성,9.2,#일본어처음시작하세요?
유시민의 글쓰기 특강,,8.9,"#좋은글의비밀,#알쓸신잡,#작가의글쓰기"
설민석의 첫출발 한국사 연표 (보급판),,8.7,#한국사대표강사
화랑 포토북,,9.0,
소년이 온다,,9.3,"#민주화운동,#빨간책방,#역사와개인,#문학으로보는역사,#한국근현대사,#해외에서인기있는한국소설,#문재인대통령이읽은책,#5.18민주화운동"
"한국경제, 돈의 배반이 시작된다",잃어버린 20년이 던지는 경고,7.6,
시작할 때 그 마음으로,법정이 우리의 가슴에 새긴 글씨,9.0,
지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",9.0,"#인문학입문,#교양쌓기"
해커스 토익 스타트 Listening,초보를 위한 토익 입문서,9.2,"#너도나도보는토익기본서,#분철"
백종원이 추천하는 집밥 메뉴 54,,8.6,"#반찬고민,#집밥의변신,#오늘뭐먹지,#무료배송쿠폰도서"
언어의 온도,말과 글에는 나름의 따뜻함과 차가움이 있다,8.2,"#남자친구,#일상을위로하다,#밀리언셀러,#같이펀딩에나온책"
일빵빵 스토리가 있는 영어회화 1,일빵빵 스토리가 있는 영어회화 1 + 영어회화의 결정적 패턴들 + 영어패턴 500 플러스,9.0,"#누구나영어할수있다,#패턴으로말하기,#분철"
어떻게 살 것인가,,8.8,"#알쓸신잡,#삶이고민될때"
2017 맘마미아 가계부,"월급쟁이, 자영업자, 주부, 군인, 학생 모두가 인정한 국민가계부!",9.2,
당신의 완벽한 1년,,9.0,"#책끝을접다,#국립중앙도서관사서추천,#행복"
에듀윌 한국사능력검정시험 2주끝장 고급 1급 2급,기출끝장 핵심정리 72주제 분석 정리,9.6,
세계미래보고서 2055,,8.5,
ETS 토익 테스트 공식실전서 LC,,9.1,
사피엔스,"유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9.2,"#교양쌓기,#빌게이츠추천,#저커버그추천,#오바마추천,#빨간책방,#인류3부작,#요즘책방:책읽어드립니다"
ETS 토익 테스트 공식실전서 RC,,8.8,
백년을 살아보니,,8.9,"#행복한노년,#철학자의인생론"
해커스 토익 스타트 Reading,초보를 위한 토익 입문서,9.1,"#너도나도보는토익기본서,#분철"
78층 나무 집,The 78 Storey Treehouse (영국판),9.4,
부동산 투자의 정석,10년 후에도 변하지 않을,9.0,
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
기적의 한글 학습 1-5 세트,,9.6,"#한글공부,#카트담기편한세트문제집"
못 참는 아이 욱하는 부모,오은영 박사의 감정 조절 육아법,9.4,"#자녀교육,#부모교육,#화내지않고아이키우기,#가족관계에힘이되는심리학"
알면서도 알지 못하는 것들 (친필 사인 리커버 에디션),인생의 가장 기본적인 소망에 대하여,9.4,"#톱클래스의비밀,#관계,#성공과성장,#삶을바꿀이야기"
