title,title2,rating,tags
세상에 너를 소리쳐!,"꿈으로의 질주, 빅뱅 13,140일의 도전",9.2,"#방탄소년단추천,#아이돌셀러,#연예인작가"
일본전산 이야기,"불황기 10배 성장, 손대는 분야마다 세계 1위, 신화가 된 회사",8.5,
흐르는 강물처럼,,8.7,
The Secret 시크릿,수 세기 동안 단 1%만이 알았던 부와 성공의 비밀,7.3,#생활습관
꿈꾸는 다락방,,8.5,
해커스 토익 Listening 리스닝,개정판,8.5,
깐깐한 수납,"꺼내고, 버리고, 완벽하게 집어넣는",8.9,
트와일라잇,,8.6,"#영화드라마원작,#기묘한괴담"
4개의 통장,평범한 사람이 목돈을 만드는 가장 빠른 시스템,8.2,
English Restart 세트,Basic + Advanced 1 + Advanced 2 + 끝장노트,8.8,
나쁜 사마리아인들,장하준의 경제학 파노라마,9.1,
해커스 토익 보카 Vocabulary,토익 기출어휘 30일 정복,8.6,
아름다운 마무리,법정 스님 산문집,9.1,
너도 떠나보면 나를 알게 될 거야,230 DAYS OF DIARY IN AMERICA,8.2,
조혜련의 박살 일본어,,8.7,
뉴문,,8.7,#영화드라마원작
나나의 네버엔딩 스토리,,8.4,
Hackers Vocabulary 해커스 보캐블러리,,8.4,
수만휘 공부법 사전,"대한민국 수험생 커뮤니티 랭킹 1위, 수만휘 최강 멘토들의 수능 공부 설명서",9.5,
내 남자,,8.0,#나오키상수상작
나물이네 밥상,,8.9,
코믹 메이플스토리 오프라인 RPG 31,,,
눈뜬 자들의 도시,,8.2,
삐뽀삐뽀 119 이유식,소아과 전문의 하정훈의,8.7,
시골의사의 주식투자란 무엇인가 1,통찰편,8.7,
구름빵,"구름빵, Cloud Bread",9.6,"#상상력,#TV방영,#무료배송쿠폰도서"
베이비 위스퍼 골드,THE BABY WHISPERER SOLVES ALL YOUR PROBLEMS,8.4,#자녀교육
잇 걸,스타일리시한 여자들의 머스트 해브 아이템 30,8.8,
신의 물방울 18,,9.4,
질문력,상황을 장악하고 상대를 간파하는,7.4,
울지 말고 말하렴,,9.0,
"당신, 거기 있어줄래요?",,8.8,#영화드라마원작
반하게 하라,세일즈 세계 제 1의 법칙,9.3,
오스카 와오의 짧고 놀라운 삶,,8.9,
"촘스키, 누가 무엇으로 세상을 지배하는가",세상의 진실을 들여다보는 통찰 - 촘스키와의 대화,8.7,
새로운 부의 탄생,미래 시장의 재편과 권력의 이동,7.6,
토라도라 7,,10.0,
유성의 인연 2,,8.6,
아웃라이어,성공의 기회를 발견한 사람들,8.6,#톱클래스의비밀
위대한 개츠비 SET (한글판+영문판),,8.5,
괜찮아,"괜찮아+기차 ㄱㄴㄷ+바람이 좋아요+가족은 꼬옥 안아주는 거야+기분을 말해 봐!+얘들아, 학교 가자",9.4,"#감정,#자존감,#다양성,#무료배송쿠폰도서"
회계학 콘서트,,8.0,
해커스 토익 스타트 Listening 리스닝,토익 리스닝 기초 4주 완성,9.2,
아낌없이 주는 나무,The Giving Tree,9.3,"#관계,#일상을위로하다,#초등고전,#진리"
디테일의 힘,작지만 강력한,7.5,
토마토 BASIC LISTENING,,9.9,
구본형의 THE BOSS 더 보스,쿨한 동행,8.9,
개를 훔치는 완벽한 방법,,8.6,
꼴 (3),귀 잘생긴 거지는 있어도 코 잘생긴 거지는 없다,9.0,
유성의 인연 1,,8.6,
지금 당장 환율공부 시작하라,,9.1,
구해줘,,8.1,
하루 15분 책읽어주기의 힘,아이의 두뇌를 깨우는,9.2,
산책하는 이들의 다섯 가지 즐거움,2009 제33회 이상문학상 작품집,7.8,
토마토 BASIC READING,,9.6,
하악하악,이외수의 생존법,8.5,
불안,,8.5,
상식 밖의 경제학,이제 상식에 기초한 경제학은 버려라!,9.1,
우찌하모 잘되노?,촌놈 하석태의 세일즈 성공 스토리,8.7,
바이러스에서 살아남기 2,,9.4,
된다 된다 나는 된다,일과 인생이 술술 풀리는 자기암시법,8.4,
육일약국 갑시다,,8.9,
삐뽀삐뽀 119 소아과,,9.0,
사랑해 사랑해 사랑해,사과가 쿵! / 사랑해 사랑해 사랑해 / 두드려 보아요 / 엄마랑 뽀뽀 / 달님 안녕 시리즈 보드북 세트,9.4,"#감동,#아이사랑,#생활동화,#힐링그림책,#무료배송쿠폰도서"
달리기를 말할 때 내가 하고 싶은 이야기,,8.6,"#달려보자,#운동에세이"
화폐 전쟁,,8.4,
서른살이 심리학에게 묻다,대한민국 30대를 위한 심리치유 카페,8.5,
해커스 토익 스타트 Reading 리딩,초보를 위한 토익 입문서,9.4,
오바마 이야기,열등감을 희망으로 바꾼,8.7,
"지금 사랑하지 않는 자, 모두 유죄",,8.4,
이클립스,,8.4,
신 2,,8.9,
해커스 토익 Reading 리딩,2008년판,9.6,
개밥바라기별,,8.8,#KBS달빛프린스선정도서
신 1,,8.4,
사랑을 찾아 돌아오다,,8.9,
눈먼 자들의 도시,,8.8,"#책끝을접다,#영화드라마원작"
폰더 씨의 실천하는 하루,,8.9,
네가 어떤 삶을 살든 나는 너를 응원할 것이다,,8.6,
엄마를 부탁해,,9.1,"#가족관계,#밀리언셀러,#읽다보면눈물바다"
