title,title2,rating,tags
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,8.9,"#아들러심리학,#인간관계,#밀리언셀러"
하버드 새벽 4시 반,최고의 대학이 청춘에게 들려주는 성공 습관,8.3,
대화의 신,토크계의 전설 래리 킹에게 배우는 말하기의 모든 것,8.5,#대화의기술
비밀의 정원 Secret Garden,출간 5주년 기념 특별 리커버 에디션,9.1,"#무아지경시간순삭,#색연필만있으면돼,#집순이취미"
지지 않는 청춘,,9.1,
나는 상처받지 않기로 했다,강철 멘탈을 가진 사람은 절대 하지 않는 13가지,9.1,
다시,용기를 부르는 주문,9.0,
수급단타왕 주식투자 실전전략,상한가 30% 시대에 맞춘 투자전략 완벽 가이드,7.1,
원피스 ONE PIECE 77,,9.3,
생각하는 인문학,5000년 역사를 만든 동서양 천재들의 사색공부법,8.9,#책읽아웃
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
그림의 힘,최상의 리듬을 찾는 내 안의 새로운 변화,8.9,
2015 선재국어 나침판 실전모의고사 Vol.2,합격을 향해 방향을 잡으라!,9.2,
유시민의 글쓰기 특강,,8.9,"#좋은글의비밀,#알쓸신잡,#작가의글쓰기"
엄마의 말공부,기적 같은 변화를 불러오는 작은 말의 힘,9.1,"#자녀교육,#말의힘"
아버지는 말하셨지,내 인생을 바꾼 아버지의 한 마디,8.6,
지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",9.0,"#인문학입문,#교양쌓기"
커피 한잔 할까요? 1,,8.9,
스위트 히어애프터,SWEET HEREAFTER,8.5,
소형 아파트 빌라 투자 앞으로 3년이 기회다,"1% 금리, 1인 가구 시대의 부동산 투자법",8.6,
여덟 단어,인생을 대하는 우리의 자세,9.1,"#책에관한책,#일상의아름다움"
해커스 토익 Listening,최신경향 반영 전면개정판,8.3,
코스모스,특별판,9.2,"#교양쌓기,#알쓸신잡,#명강의,#우주,#멜로디책방"
내가 고전을 공부하는 이유,,8.9,
책 먹는 여우와 이야기 도둑,책 먹는 여우 + 책 먹는 여우와 이야기 도둑 + 잭키 마론과 악당 황금손 + 검은 유령 + 사라진 이야기 모자,9.0,"#풍자,#책덕후"
유아 식판식,,9.2,
2015 공단기 실전동형 모의고사 한국사,,9.2,
일빵빵 스토리가 있는 영어회화 1,일빵빵 스토리가 있는 영어회화 1 + 영어회화의 결정적 패턴들 + 영어패턴 500 플러스,9.0,"#누구나영어할수있다,#패턴으로말하기,#분철"
나음보다 다름,"기획에서 마케팅까지,  무엇을 어떻게 차별화할 것인가",9.2,
위험한 과학책,지구 생활자들의 엉뚱한 질문에 대한 과학적 답변,8.4,"#빌게이츠추천,#독창적사고"
삐뽀삐뽀 119 소아과,,9.0,
철학의 힘,만족 없는 삶에 던지는 21가지 질문,9.4,
송곳 세트,,9.5,#원작웹툰
음식의 언어,세상에서 가장 맛있는 인문학,8.0,"#국립중앙도서관사서추천,#음식이야기,#배고파지는책"
영단기 토익 스타트 RC,"토익 기본서 1위, 토익대세 영단기",9.7,
일빵빵 입에 달고 사는 기초영어,동사 조동사 편,9.4,"#누구나영어할수있다,#패턴으로말하기,#분철"
마법의 설탕 두 조각,,8.9,#생활동화
"생각하는 힘, 노자 인문학",EBS [인문학 특강] 최진석 교수의 노자 강의,8.9,
영단기 토익 RC,,8.0,
오늘 내가 사는 게 재미있는 이유,파킨슨병을 앓으면서도 유쾌한 심리학자가 인생을 즐기는 법 42,9.0,
해커스 토익 Reading,최신경향 반영 전면개정판,9.2,
부자의 운,운이 들어오는 입구를 넓히는 법,8.5,
해커스 토익 보카 (Hackers TOEIC Vocabulary),토익 최신 기출 단어 적중 출제포인트 30일 완성,9.4,
13층 나무 집,The 13-Story Treehouse (미국판),9.2,
바리스타 2급 자격시험 예상문제집,,8.6,
